Company,Date Posted,Media Type,Post Text,Post Likes,Post Comments,Video Views,Media Links,Followers
Udacity,1 week ago,"Other: Poll, Shared Post, etc","Seth Godin taught us that in order to be a successful employee, above all we need to become a lynchpin - an essential, irreplaceable asset to the team. Before that however, let's get back to basics with 5 essential traits any employee needs: https://bit.ly/3LIre9z",16,0,N/A,None,"339,780 followers"
Udacity,3 days ago,Article,The Amazon Web Services (AWS) #AI & #ML Scholarship helps underrepresented and underserved high school and college students learn foundational #machinelearning concepts and prepare them for a career in #artificialintelligence and machine learning. Taking applications now! https://bit.ly/36fgb8X,143,10comment,10 comments,https://bit.ly/36fgb8X,"339,780 followers"
Udacity,1 week ago,Image,"La guerre des talents dans la Tech. Les entreprises de la Tech se livrent une guerre sans merci pour recruter et surtout retenir les profils les plus prisés : développeurs, designers, métiers du Big Data et commerciaux valent désormais leur pesant d’or. Une étude menée par Udacity en février 2022 révèle que 63 % des entreprises françaises estiment que la pénurie actuelle de collaborateurs qualifiés endigue leur croissance. La seule rémunération n’est plus le facteur prépondérant pour les candidats : formation, mode de travail, environnement, sociétal, diversité, valeurs RSE, sont autant d’autres facteurs déterminants. L’article récemment paru sur Siècle Digital nous livre un éclairage pertinent sur la guerre des recrutements qui fait actuellement rage dans le secteur de la Tech.https://bit.ly/3jbbBLy",13,0,1 share,https://media-exp1.licdn.com/dms/image/C4D22AQEUYOepzKT3AQ/feedshare-shrink_800/0/1649190220597?e=2147483647&v=beta&t=cS7UAtMn6dG4T4OfCKc1qV0Xxkn5q4-BCh5stYGOBdE,"339,780 followers"
Udacity,1 week ago,Article,"3 Ways to Implement AI in Business:1. Predictive Algorithms to Learn Customer Habits2. AI Saves Time...3. Chatbots, Virtual Assistants, and Robotic Process AutomationLearn more: https://bit.ly/373AI0G",62,0,6 shares,https://bit.ly/373AI0G,"339,780 followers"
Udacity,2 weeks ago,Image,"As Part of stc mission to empower and support women, academy from stc are providing 150 Nano-degrees in Business Analytics (Udacity) for all women in STEM at the GCC area.We extend our hands so let’s go further together.https://lnkd.in/ga4WJ--k",8,0,N/A,https://media-exp1.licdn.com/dms/image/C5622AQHJe276QtHcAg/feedshare-shrink_800/0/1648647001688?e=2147483647&v=beta&t=1lzKWjMqRnILpXPidR6QvtkFdtW2tShd3p2VSDD2BIQ,"339,780 followers"
Udacity,1 week ago,Article,Here's how to ace your Product Manager interview:1. Understand the role2. Be Patient3. Prepare Your Answers 4. Showcase Your Skills and Expertise5. Do Your ResearchLearn more: https://bit.ly/35HIMDy,31,1comment,2 shares,https://bit.ly/35HIMDy,"339,780 followers"
Udacity,1 week ago,Image,You don’t need a degree to take on an exciting role at a top tech company. There are job openings that our partner Infosys is looking to fill with graduates of this scholarship program. Sign up today! https://bit.ly/3x6gbTx,111,9comment,19 shares,https://media-exp1.licdn.com/dms/image/C5622AQHlh_BJbw1Duw/feedshare-shrink_800/0/1649354407540?e=2147483647&v=beta&t=hb4T_9sg0erIFwMJdVOo3IebfMHQL183EyPLX57ts9c,"339,780 followers"
Udacity,2 weeks ago,Image,"Udacity customer, stc, will be offering a free #Nanodegree in Business Analytics to 150 women in the #GCC regions who are interested in STEM-related careers. Together we support and believe in the importance women play in the labour market and for this reason, stc is doing its part in empowering women to pursue their dreams. Applications are being accepted until April 3, and you can apply here: https://lnkd.in/ga4WJ--k",145,5comment,5 comments,https://media-exp1.licdn.com/dms/image/C4D22AQH95i80NpCptg/feedshare-shrink_800/0/1648570571736?e=2147483647&v=beta&t=FHOlNjvEEEXvhITuTuI2uTtCBy79Kfa6LUANJS29nJg,"339,780 followers"
Udacity,6 days ago,Article,Here's how to think like an entrepreneur to design the career you want:1. Tune into your purpose2. Proactively solve problems3. Craft the job you want4. Prepare to pitchhttps://bit.ly/3KNZoJf,15,0,1 share,https://bit.ly/3KNZoJf,"339,780 followers"
Udacity,1 week ago,Image,Udacity & Niya have partnered to launch a program to train underserved refugee talent in job-ready digital skills and connect them with job opportunities in tech. Learn more on the blog: https://bit.ly/3v22Xoa,73,2comment,9 shares,https://media-exp1.licdn.com/dms/image/C5622AQF4R6QXYxqW3g/feedshare-shrink_800/0/1649436782003?e=2147483647&v=beta&t=w3uN7Toz8ua1723tMrGApAUOhBWIkVNffJAdWKt-L8g,"339,780 followers"
Udacity,1 month ago,Image,"Excited to announce that I'll be speaking at #DemandFest. I'm looking forward to talking about the intersection of content marketing and demand generation with Tulin Green and Mike Pastore. Join TechnologyAdvice for DemandFest on Friday, April 8th, and connect with hundreds of inquisitive marketers who are looking to learn and grow together. Register today 👉 https://demandfest.tech/#marketingevent #demandgeneration #marketing #techmarketing #contentmarketing #udacity",7,0,N/A,https://media-exp1.licdn.com/dms/image/C5622AQFJJLJb3HY2xg/feedshare-shrink_800/0/1647551786219?e=2147483647&v=beta&t=S9fEp1QkB_Stz7V2EtSnPjc3SHqVGbmgpgdWnoBvNjA,"339,780 followers"
Udacity,3 weeks ago,Image,"Do you want to build #programming and #webdevelopment skills FOR FREE, so you can get a well-paying job? We are partnering with Citi to provide scholarships at no cost. Apply now: https://bit.ly/3qZ3sOZ",50,1comment,1 comment,https://media-exp1.licdn.com/dms/image/C5622AQGaFqe18KUKMA/feedshare-shrink_800/0/1648158580022?e=2147483647&v=beta&t=XfRJs6SZSImW5WP-sIa6iQj21mswQmDaaS2Uc9WHCTU,"339,780 followers"
