our_competitors,Date_Posted,Media_Type,Post_Caption,Likes_Counts,Comments_Counts,Shared_Counts,total_followers
Udacity,2022-04-23 18:32:40.769565,"Other: Poll, Shared Post, etc","What are the 5 most essential things tech companies need to do well to succeed in 2022? 1. #ProgrammingTech professionals of all types can benefit from knowing how to program. 2. #DataManagementHaving a single source of truth for the huge amounts of data that companies need to measure on a daily basis is essential to staying competitive. 3. #CybersecuritySecurity, especially #datasecurity, is more important than ever. This past year, every single app that was tested showed at least one vulnerability, with most apps showing many more. 4. Technical WritingEvery employee, regardless of their role, should know how to write well. 5. Create an Excellent #UserExperience#UX designers definitely need top-notch skills in user experience, but it doesn’t hurt for everyone in the product lifecycle to gain an understanding of how the user feels.",56,2,4 ,"340,901"
Udacity,2022-04-20 18:32:40.769565,"Other: Poll, Shared Post, etc","3 Reasons Why Your Company Should Hire From Within:1. Employees already know the company culture.- Company culture is often one of the most important factors when it comes to selecting an employer. An employee that already knows the company will have a head start in understanding their new job responsibilities and expectations. 2. Existing employees are already familiar and used to working with one another.- Less of an adjustment period for everyone in terms of interpersonal relationships and working styles. 3. Higher retention rates.- Employee engagement and retention is higher among workers who feel valued. One of the best ways to make employees feel valued is to consider them for promotions. Additionally, hiring internally eliminates some of the risk of training and turnover costs.",86,0,0,"340,901"
Udacity,2022-04-21 18:32:40.769565,"Other: Poll, Shared Post, etc",5 Reasons to Learn New Skills Online through Udacity: 1. Gain practical skills through hands-on experience that you apply directly to a current or future job2. Build an “interview-ready” portfolio to maximize your chances of getting a job offer3. Position yourself for career growth in the quickly changing world of tech4. Get support from mentors and build your network5. Hone the skills you need on your own timeDrop a comment and tell us how learning a new skill has helped your career.,91,3,5 ,"340,901"
Udacity,2022-04-11 18:32:40.769565,"Other: Poll, Shared Post, etc","Seth Godin taught us that in order to be a successful employee, above all we need to become a lynchpin - an essential, irreplaceable asset to the team. Before that however, let's get back to basics with 5 essential traits any employee needs: https://bit.ly/3LIre9z",17,0,0,"340,901"
Udacity,2022-04-19 18:32:40.769565,Image,Cognizant & #Udacity are offering scholarships to learners to develop foundational #Java #programming skills. Apply now: https://bit.ly/3uRHZJN,111,3,13,"340,901"
Udacity,2022-04-24 18:32:40.769565,Article,#B2Bmarketing in many ways is an entirely different beast from consumer marketing. Learn about the most important skills required for effective B2B marketing in #B2BNation's latest podcast episode: https://bit.ly/38eApA4,18,0,0,"340,901"
Udacity,2022-04-11 18:32:40.769565,Image,You don’t need a degree to take on an exciting role at a top tech company. There are job openings that our partner Infosys is looking to fill with graduates of this scholarship program. Sign up today! https://bit.ly/3x6gbTx,113,9,19,"340,901"
Udacity,2022-04-11 18:32:40.769565,Image,"#Machinelearning brings together computer science and statistics to harness that predictive power. It’s a must-have skill for all aspiring data analysts and data scientists, or anyone else who wants to wrestle all that raw data into refined trends and predictions. Gain a high-level introduction to the field of machine learning and prepare to use #AzureMachineLearning Studio to train machine learning models: https://bit.ly/3jk5chjMicrosoft",103,5,13,"340,901"
Udacity,2022-04-11 18:32:40.769565,Image,"La guerre des talents dans la Tech. Les entreprises de la Tech se livrent une guerre sans merci pour recruter et surtout retenir les profils les plus prisés : développeurs, designers, métiers du Big Data et commerciaux valent désormais leur pesant d’or. Une étude menée par Udacity en février 2022 révèle que 63 % des entreprises françaises estiment que la pénurie actuelle de collaborateurs qualifiés endigue leur croissance. La seule rémunération n’est plus le facteur prépondérant pour les candidats : formation, mode de travail, environnement, sociétal, diversité, valeurs RSE, sont autant d’autres facteurs déterminants. L’article récemment paru sur Siècle Digital nous livre un éclairage pertinent sur la guerre des recrutements qui fait actuellement rage dans le secteur de la Tech.https://bit.ly/3jbbBLy",14,0,0,"340,901"
Udacity,2022-04-18 18:32:40.769565,Image,"No matter what you do, knowing the ""ins and outs"" of Google Workspace is likely essential. Now you can learn #GoogleWorkspace for free through the Udacity platform. Dive in: https://bit.ly/3KMNq2c",75,3,10,"340,901"
