our_competitors,Date_Posted,Media_Type,Post_Caption,Likes_Counts,Comments_Counts,Shared_Counts,total_followers
GetSmarter,2022-02-25 18:35:36.579528,Image,"Does your current career plan address challenges such as accelerated digitization, changing priorities, or burnout? Gain an approach to professional development that considers well-being as well as your paycheck: https://bit.ly/3HQywXs",19,0,0,"234,404"
GetSmarter,2022-04-25 12:35:36.579528,Image,The time for change is now. Enhance your business’s growth strategy by effectively implementing AI initiatives. Learn how in this new program from IE University. https://bit.ly/3vyy6Qt,5,0,0,"234,404"
GetSmarter,2022-04-21 18:35:36.579528,Image,Why are some nations wealthy while others remain poor? Explore the multidisciplinary factors behind inequality and develop the tools to promote higher living standards for all on the new course from LSE Online. https://bit.ly/3vyRg8H,5,0,0,"234,404"
GetSmarter,2022-04-22 18:35:36.579528,Image,How are fintech innovations impacting your context? Find out and explore appropriate responses over just five weeks in this new program from IMD Business School. https://bit.ly/3OrCOs4,5,1,0,"234,404"
GetSmarter,2022-04-21 18:35:36.579528,Image,"As a speaker, coach, and course creator, Simone Heng says that her life changed when she started investing in education as an adult. “I noticed an increase in my confidence, mindset, and eventually my income as well,” she says.#GetSmarterOnline #LifelongLearner #LearnOnline #DreamCareer",4,0,0,"234,404"
GetSmarter,2022-04-19 18:35:36.579528,"Other: Poll, Shared Post, etc","Sue Dopson, Programme Director on the Executive Education at Saïd Business School Women’s Leadership Development Programme, shares her insight on managing difficult conversations at work. Learn more here: https://bit.ly/3CtkF7l",5,0,0,"234,404"
GetSmarter,2022-04-20 18:35:36.579528,Youtube Video,"Digital transformation, leadership, strategy, or finance. Whatever you need to learn, benefit from the world-class education at Saïd Business School, University of Oxford, online: https://bit.ly/3ratUFE",4,0,0,"234,404"
GetSmarter,2022-04-18 18:35:36.579528,Image,"After completing a course with GetSmarter, CCO Anna Frankowska reflects on life as a learning journey, especially in today’s changing world. “Luckily, we can access the very best quality education remotely from anywhere, at any time, allowing us to educate ourselves, and become better leaders and change-makers,” she says.Develop your professional skills and drive digital innovation with an online course from GetSmarter. Find your next course here: https://bit.ly/3JIK7bo.#GetSmarterOnline #LifelongLearner #LearnOnline #DreamCareer",3,0,0,"234,404"
GetSmarter,2022-04-22 18:35:36.579528,"Other: Poll, Shared Post, etc","Gillian Charlesworth, a Guest Expert on the Oxford Executive Leadership Programme from Executive Education at Saïd Business School, discusses adapting your leadership style to suit different contexts. Learn more here: https://bit.ly/3sVhgLx",5,0,0,"234,404"
GetSmarter,2022-04-11 18:35:36.579528,Image,"As the climate changes and populations expand, our methods of producing and processing food must urgently adapt. Learn how applying new business models and transforming supply chains can help build a more resilient global food system with the Cambridge Institute for Sustainability Leadership (CISL). https://bit.ly/3JhggX3",0,0,0,"234,404"
GetSmarter,2022-04-11 18:35:36.579528,Image,"An award-winning coach, corporate trainer, business consultant, and owner of Pinq Inc, a business hub for women, Brittany Garth was looking to upskill in a way that suits her schedule. Experience a world-leading university and an online education that sets you apart. Explore which GetSmarter courses are starting soon: https://bit.ly/3paPKHK#GetSmarterOnline #LifelongLearner #LearnOnline #DreamCareer",3,0,0,"234,404"
GetSmarter,2022-04-04 18:35:36.579528,Image,"Imagine a world in which house sellers, buyers, and mortgage lenders have access to a public list of all properties on the housing market, alongside independent and public valuations for each listing. With AI, this could be possible.Explore the megatrends and disruptions impacting real estate in the Executive Education at Saïd Business School Future of Real Estate Investment Programme: https://bit.ly/3izxPa2",2,0,0,"234,404"
GetSmarter,2022-04-04 18:35:36.579528,Image,Ready to operate at your full potential? Unlock the power of a high-performance mindset in this new micro course from Stanford Center for Health Education. https://bit.ly/36QZqB0,3,0,0,"234,404"
GetSmarter,2022-04-18 18:35:36.579528,Article,"Are you ready to upskill yourself in private markets? Join Ludovic Phalippou, Programme Director on the Saïd Business School, University of Oxford Private Markets Investments Programme, as he discusses private equity in a series of business-related podcasts.Listen here: https://bit.ly/3KEVQJy",6,2,2 ,"234,404"
GetSmarter,2022-04-11 18:35:36.579528,"Other: Poll, Shared Post, etc","Phil Smith, Guest Expert on the Oxford Executive Leadership Programme from Executive Education at Saïd Business School, talks about leading with vision. Learn more here: https://bit.ly/362O0JM",3,0,0,"234,404"
GetSmarter,2022-04-04 18:35:36.579528,"Other: Poll, Shared Post, etc","Marya Besharov, Guest Expert on the Executive Education at Saïd Business School Leading Sustainable Corporations Programme, discusses how to harness the “both/and” mindset in business. Learn more here: https://bit.ly/3tJrb5X",0,0,0,"234,404"
GetSmarter,2022-04-04 18:35:36.579528,Image,Crises often come without warning. Ensure your healthcare organization is properly prepared at all times. Join this new course from the Stanford Center for Health Education. https://bit.ly/3iO8w3Q,3,0,0,"234,404"
GetSmarter,2022-02-25 18:35:36.579528,Multiple Images,"We're proud of the caliber of our Guest Experts and the passion they have for their subject matter. Brigitte Mentz will be sharing her extensive knowledge on the University of Cape Town Operations Management online short course, starting March 7, 2022: https://bit.ly/3I24IHt",4,0,0,"234,404"
GetSmarter,2022-03-25 18:35:36.579528,Image,Move beyond the initial hype of FinTech innovation with this course from Harvard Online. https://bit.ly/3L3bZb8,2,0,0,"234,404"
GetSmarter,2022-03-25 18:35:36.579528,"Other: Poll, Shared Post, etc","Andrew White, Guest Expert on the Executive Education at Saïd Business School Leadership Programme, discusses the importance of leadership with purpose. Read more here: https://bit.ly/3HZGDA2",2,0,0,"234,404"
GetSmarter,2022-03-25 18:35:36.579528,Image,Are you a strategic decision maker? Gain the tools to adapt in the face of digital disruption with MIT Sloan School of Management. https://bit.ly/3tkDSW5,0,0,0,"234,404"
GetSmarter,2022-03-25 18:35:36.579528,Image,"Develop an in-depth understanding of real estate economics and markets, guided by renowned LSE Online faculty and industry experts. https://bit.ly/36atfwp",3,1,0,"234,404"
GetSmarter,2022-03-25 18:35:36.579528,Image,Enhance your management and leadership competencies with the 10-week LSE Online MBA Essentials online certificate course. https://bit.ly/37J9yff,7,0,0,"234,404"
GetSmarter,2022-03-25 18:35:36.579528,Image,Learn to analyze technologies revolutionizing the financial services industry through world-class content from Harvard University VPAL and HarvardX. https://bit.ly/3KQiXA8,1,0,0,"234,404"
GetSmarter,2022-03-25 18:35:36.579528,Image,How do you capitalize on consumer engagement? Develop the skills to analyze interactions across all digital channels with MIT Sloan School of Management. https://bit.ly/362V9KH,0,0,0,"234,404"
GetSmarter,2022-04-11 18:35:36.579528,Article,"In the face of the climate crisis, megaprojects need to have modularity in design and speed in delivery if they are to succeed. Bent Flyvbjerg from Saïd Business School, University of Oxford shares how to slash megaprojects' cost while boosting delivery speed. Read it here: https://bit.ly/3KCOuX2Go beyond traditional project management and redefine project success with a strategic approach on the Saïd Business School, University of Oxford Leading Strategic Projects Programme. Sign up today:  https://bit.ly/3Ar3v9y",1,0,0,"234,404"
GetSmarter,2022-03-25 18:35:36.579528,"Other: Poll, Shared Post, etc","Sue Dopson, Programme Director on the Executive Education at Saïd Business School Women’s Leadership Development Programme, discusses ways to adopt contemporary leadership in your organisation. Learn more here: https://bit.ly/3IWy7TH",8,0,0,"234,404"
GetSmarter,2022-04-11 18:35:36.579528,Article,"At a time when sustainability has never been more crucial, Rachel Delhaise re-examined how she could make a bigger impact in her career. In celebration of inspiring women this Women’s History Month, watch as she shares her learning journey. https://bit.ly/3D3hQKR#GetSmarterOnline #LifelongLearner #GetSmarter #LearnOnline #CelebratingWomen",3,0,0,"234,404"
GetSmarter,2022-03-25 18:35:36.579528,Image,"Is your leadership style adding value to your organisation? Gain a deeper understanding of your role and purpose, and maximise your influence as a leader on the Executive Education at Saïd Business School Executive Leadership Programme. https://bit.ly/3Jpabss",3,0,0,"234,404"
GetSmarter,2022-03-25 18:35:36.579528,"Other: Poll, Shared Post, etc","International Women's Day, on Tuesday, 8 March, follows the theme #BreakTheBias, encouraging you to celebrate women’s achievements, raise awareness against bias, and take action for equality. In celebration, Executive Education at Saïd Business School is offering 10% off when you register for the Oxford Women’s Leadership Development Programme between 7 and 14 March 2022 using the code OXFWMLIWD2022. Enhance your leadership strengths and learn how to drive inclusion in business. Find out more: https://bit.ly/3tjIbzO",13,0,0,"234,404"
GetSmarter,2022-03-25 18:35:36.579528,Image,"Gain an essential understanding of the current global economic, social, and environmental pressures affecting your business with Cambridge Institute for Sustainability Leadership (CISL). https://bit.ly/36FmlPz",3,0,0,"234,404"
GetSmarter,2022-04-04 18:35:36.579528,Article,"The European Young Leader programme aims to promote a European identity by engaging some of its most promising talents in initiatives that will shape the continent’s future. Former Executive Education at Saïd Business School Executive Leadership Programme participant, Paolo Petrocelli, has been named as a European Young Leader, Class of 2022.Read more: https://bit.ly/3wO8Ckg",2,0,0,"234,404"
