our_competitors,Date_Posted,Media_Type,Post_Caption,Likes_Counts,Comments_Counts,Shared_Counts,total_followers
EXPLORE Data Science Academy,2022-04-18 18:11:16.549970,Image,Admissions are open for our career- and life-changing courses. Take the first step towards your future by selecting the course you want to apply for. Data Engineering Accelerator:  https://lnkd.in/gjtn3pg4Data Science  Accelerator:  https://lnkd.in/g3uxAC5vData Science Scholarship:  https://lnkd.in/ex_XHiEP#ExploreDataScience #DataScience #DataEngineering #DataAnalysis #TechSkills #UpSkill #Elearning,"55

                Carmen Lewis and 54 others",0,0,"6,909"
EXPLORE Data Science Academy,2022-04-25 15:11:16.549970,Image,SQL commands are mainly grouped into four categories. Become familiar with these groups and the relevant commands. #ExploreDataScience #DateAnalytics #DataScience #DataEngineering #SQL #UpSkill #Elearning #4IR,15,0,0,"6,909"
EXPLORE Data Science Academy,2022-04-22 18:11:16.549970,"Other: Poll, Shared Post, etc",There are numerous career options to choose from in data. Which one excites you?  Vote or comment to let us know. #ExploreDataScience #DataCareers #DataAnalyst #DataScientist #DataEngineer,17,1,0,"6,909"
EXPLORE Data Science Academy,2022-04-20 18:11:16.549970,Image,"SQL is an essential skill among data professionals. Over the next few weeks, each of our SQL posts will teach you more about this popular programming language. #ExploreDataScience #DataAnalyst #DataScientist #DataEngineer #SQL #ProgrammingLanguage #Elearning #TechSkills #4IR",56,1,0,"6,909"
EXPLORE Data Science Academy,2022-04-21 18:11:16.549970,"Other: Poll, Shared Post, etc","Want to learn how to write a basic SQL query? Watch this short demo, and then practice your new skills by doing a few exercises on HackerRank. https://lnkd.in/dCA4fJ7T#ExploreDataScience #DataScience #DataEngineer #DataAnalyst #SQL #Elearning #TechSkills #4IR",25,0,0,"6,909"
EXPLORE Data Science Academy,2022-04-11 18:11:16.549970,"Other: Poll, Shared Post, etc","Plotly stands out from other Python visualisation packages. The visualisations you create with Plotly are interactive, can be displayed in Jupyter notebooks, and saved as HTML files. Why don't you find a dataset and create some visualisations using Plotly?#ExploreDataScience #DataVisualisations #Python #PythonLibraries #PythonProgramming #Plotly #Elearning #DataSkills #DataScience #Visualisations","29

                Carmen Lewis and 28 others",2,0,"6,909"
EXPLORE Data Science Academy,2022-04-18 18:11:16.549970,Youtube Video,"Want to learn more about our CEO, shaun dippnall, and EXPLORE? Take a few minutes and watch this interview!#ExploreDataScience #DataScience #Zindi #UmojaHackAfrica2022 #Elearning #UpSkill",3,0,0,"6,909"
EXPLORE Data Science Academy,2022-04-11 18:11:16.549970,"Other: Poll, Shared Post, etc",Seaborn is next in line. Here is another quick demo on bar chart visualisation. #ExploreDataScience #Python #PythonVisualisation #Programming #Datavisualisation #DataSkills #DataScience #Seaborn #Elearning #TechSkills,"21

                Carmen Lewis and 20 others",0,0,"6,909"
EXPLORE Data Science Academy,2022-04-18 18:11:16.549970,Image,"Over the past few years, various banks have partnered with EXPLORE in training data scientists and data engineers. Together we will continue developing tech skills to meet the growing demand. Nedbank FNB South AfricaInvestecAfrican BankAbsa GroupStandard Bank Group#ExploreDataScience #DataScience #DataEngineering #DataVisualisation #UpSkilling #TechSkills #Partnerships #FinTech #Banks","137

                You and 136 others",3,12,"6,909"
EXPLORE Data Science Academy,2022-04-04 18:11:16.549970,Image,"Data visualisation is vital in gathering insights from our data. Python has various visualisation packages we can use,  including Matplotlib, Seaborn and Plotly.  Later this week, we will show you how to create a bar chart with these three packages.#matplotlib #seaborn #plotly #python #visualisation #pythonlibraries #datavisualisation #datascience","29

                Viwe Mqaqa and 28 others",5,2 ,"6,909"
EXPLORE Data Science Academy,2022-03-25 18:11:16.549970,Image,"Make sure not to miss out on this opportunity to hear shaun dippnall speak at this year's UmojaHack Africa, and if you have not done so already, sign up for the hackathon!#ZindiHack #Zindi #hackathon #datascience #africa #UHA22 #elearning","55

                You and 54 others",0,0,"6,909"
EXPLORE Data Science Academy,2022-04-11 18:11:16.549970,"Other: Poll, Shared Post, etc",Creating visualisations with Python is easier than setting up an email account. Learn how to create a bar chart with Matplotlib in less than 20 seconds. #ExploreDataScience #Python #Programming #PythonProgramming #Visualisation #DataVisualisation #Matplotlib #DatScience,"30

                Carmen Lewis and 29 others",0,0,"6,909"
EXPLORE Data Science Academy,2022-04-04 18:11:16.549970,Image,"Here's some exciting news: BCX has committed to sponsoring young data science talent for another three years. They're doing their bit to bring data science, and cool jobs, to the people.Read about it here: https://lnkd.in/g3attEwY#datascience #elearning #education #datasciencetraining","110

                You and 109 others",5,8 ,"6,909"
EXPLORE Data Science Academy,2022-02-25 18:11:16.549970,"Other: Poll, Shared Post, etc",DAX is what makes Power BI so powerful!It is not only used in Power BI but also other Microsoft platforms.  Our students are currently investing some time in becoming proficient with DAX. https://lnkd.in/gePmHiCt#DAX #powerbi #powerbidesktop #visualisation #datascience #dataanalysis #elearning,26,0,0,"6,909"
EXPLORE Data Science Academy,2022-03-25 18:11:16.549970,Image,"Comparison operators form an integral part of programming languages and are used in conditional statements. With comparison operators, two values are compared, and either a true or false statement is returned, determining the program flow. Keep an eye out for tomorrow's post - we will be sharing how to use a logic tree, flowchart and pseudocode to solve a programming problem. #programming #python #problemsolving #datascience #programmaticthinking",7,0,0,"6,909"
EXPLORE Data Science Academy,2022-01-25 18:11:16.549970,"Other: Poll, Shared Post, etc",You have the option to choose between a Data Science and Data Engineering course.Select your course of choice and enrol today.https://lnkd.in/dcQA-Bu#dataengineering #datascience #cloudcomputing #bigdata #elearning #newcareer,"17

                Zintle Faltein-Maqubela and 16 others",0,0,"6,909"
EXPLORE Data Science Academy,2022-01-25 18:11:16.549970,"Other: Poll, Shared Post, etc",There is just more than a week remaining to enrol for our Data Science course starting on the 17th of January. It will be the best decision you make this year. https://lnkd.in/ePFRsMgR#datascience #python #sql #visualisation #machinelearning #enrolnow,34,0,0,"6,909"
EXPLORE Data Science Academy,2022-03-25 18:11:16.549970,Image,"When creating flowcharts, each symbol used has a specific meaning. Use this chart as a reference guide when designing flowcharts. #flowcharts #datascience #programming",19,0,0,"6,909"
EXPLORE Data Science Academy,2022-03-25 18:11:16.549970,Image,"Pseudocode and flowcharts are excellent aids in developing programming logic.  If you are new to coding, use these techniques before using computer code to solve the problem. #pseudocode #computerprogramming #flowcharts #datascience #solvingproblems",9,0,0,"6,909"
EXPLORE Data Science Academy,2022-04-25 17:41:16.549970,"Other: Poll, Shared Post, etc","DAX or Data Analysis Expressions is a powerful query language that we can use to perform data manipulation and is commonly used in Power BI. Due to its data manipulation power, it is popular amongst Data Analysts and Data Scientists.Tutorialspoint has put together this very comprehensive guide on DAX functions. Keep this one close by for your next Power BI project.#datascience #dataanalysis #powerbi",34,0,0,"6,909"
EXPLORE Data Science Academy,2022-03-25 18:11:16.549970,Youtube Video,"So, what's your thing?https://lnkd.in/e6BtUbQR",13,1,2 ,"6,909"
EXPLORE Data Science Academy,2022-03-25 18:11:16.549970,Article,"We are proud to be sponsoring UmojaHack Africa 2022! Sign up here.This competition is the biggest inter-university ML hackathon in Africa, inspiring the next generation of tech and AI leaders. ML and AI are key for the rejuvenation of Africa’s economies, and we are proud to play a pivotal role in supporting future talent.#BuildingAITogether #UmojaHackAfrica2022 #KeepLearning","28

                Carmen Lewis and 27 others",0,0,"6,909"
EXPLORE Data Science Academy,2022-02-25 18:11:16.549970,Image,Our students are setting up Anaconda and starting to work with Jupyter Notebook. These tools simplify data science and machine learning projects. Want to set it up yourself? - https://lnkd.in/g6qKfiea#anaconda #jupyternotebook #python #datascience,"39

                Malibongwe Shange and 38 others",1,2 ,"6,909"
EXPLORE Data Science Academy,2022-02-25 18:11:16.549970,Image,"Notebooks are one of the most popular tools data scientists use to perform exploratory data analysis (EDA) and machine learning model development. At EXPLORE, our students use Jupyter Notebooks to gather and share insights on projects. #jupyternotebook #anaconda #datascience #dataengineering #jupyter #machinelearning #dataanalysis","41

                Maryam Hassan and 40 others",1,5 ,"6,909"
EXPLORE Data Science Academy,2022-04-25 17:41:16.549970,"Other: Poll, Shared Post, etc",EXPLORE is looking for a few talented individuals to join the content creation team. Have a look at the job specifications for each role on the attached PDF:1) Senior Data Science Content Creator (page 1 - 2)2) Data Science Content Creator (page 3 - 4)3) Motion Graphic Designer (page 5 - 6)#datascience #jointheteam,31,0,0,"6,909"
EXPLORE Data Science Academy,2022-04-25 17:41:16.549970,"Other: Poll, Shared Post, etc","In 2020, Python was the most popular data science programming language. So if you want to learn data science, a good first step would be to learn Python.Here is an excellent cheat sheet on Python by Real Python to get you started.#datascience #python #resources",32,0,0,"6,909"
EXPLORE Data Science Academy,2022-02-25 18:11:16.549970,Image,"The data from 2021 shows that Python is the most popular programming language. At EXPLORE, our students learn to solve problems using this programming language. To have a look at the data yourself, download it here - https://lnkd.in/gXkPwF8R#python #programminglanguage #problemsolving #datascience #data #dataanalytics","40

                Malibongwe Shange and 39 others",0,0,"6,909"
EXPLORE Data Science Academy,2022-02-25 18:11:16.549970,Image,"Now that you know how to use data in Power BI, where can you access open data?GitHub - https://lnkd.in/ekUW3RdThe World Bank - https://lnkd.in/gmr5HGydata.world - https://data.world/Kaggle - https://lnkd.in/gnhnfN8y#opendata #powerbi #github #kaggle #dataanalysis #datasources #datascience","37

                Carmen Lewis and 36 others",0,0,"6,909"
EXPLORE Data Science Academy,2021-12-25 18:11:16.549970,Youtube Video,Watch our latest video that shares what we do:https://lnkd.in/dV6YrmRU,21,0,0,"6,909"
EXPLORE Data Science Academy,2022-01-25 18:11:16.549970,Article,"Cloud computing is one of the most in-demand tech skills. Explore Data Science Academy, in partnership with AWS, ensures that our students gain the must-have knowledge and practical experience in cloud computing.Listen to this podcast to hear more from Clive Charlton (Head of Solution Architecture at AWS) and shaun dippnall (CEO & Co-founder of EDSA). - https://lnkd.in/gFexFq7xJoin one of our courses before Monday, the 17th of January, to learn this valuable skill. Data Science - https://lnkd.in/ePFRsMgRData Engineering - https://lnkd.in/dcQA-Bu#cloudcomputing #aws #elearning #techskills #datascience #dataengineering","52

                Viwe Mqaqa and 51 others",0,0,"6,909"
EXPLORE Data Science Academy,2022-02-25 18:11:16.549970,Image,Want to join our team in creating amazing content? Senior Data Science Content Creator - https://lnkd.in/g2Uv7T8MSenior Date Engineering Content Creator - https://lnkd.in/gYasGjhs#jobadvert #datascience #dataengineering #contentcreator,"23

                Maryam Hassan and 22 others",0,0,"6,909"
EXPLORE Data Science Academy,2022-01-25 18:11:16.549970,Article,"Select the course that fits your interest, schedule and pocket.4 days remaining to enrol.https://lnkd.in/dfKWZc3#datascience #dataengineering #elearning #newcareer",13,0,0,"6,909"
EXPLORE Data Science Academy,2022-01-25 18:11:16.549970,Article,Still on the fence if you should enrol in our data science course? This article discusses five indisputable reasons why you should.https://lnkd.in/gudeKn-XEnrol now! - https://lnkd.in/ePFRsMgR#machinelearning #datasience #elearning #careerdevelopment,"22

                Malibongwe Shange and 21 others",0,0,"6,909"
EXPLORE Data Science Academy,2022-01-25 18:11:16.549970,Article,Two weeks left to register for our immersive Data Engineering course:https://lnkd.in/dcQA-Bu,15,0,0,"6,909"
EXPLORE Data Science Academy,2022-02-25 18:11:16.549970,Image,"Our students have moved on to learning the next problem-solving tool, a programming language.Over the next six weeks, our posts will focus on our programming language of choice.https://lnkd.in/ex_XHiEP#programminglanguages #datascience #problemsolving #problemsolvingskills","28

                Kgotso Phela and 27 others",0,0,"6,909"
EXPLORE Data Science Academy,2022-02-25 18:11:16.549970,Image,"In Power BI Desktop, you have the functionality to create new features by using DAX. What is the difference between creating a feature as a column vs a measure?Also, check out this comprehensive DAX guide we shared last year: https://lnkd.in/gFsWw-KM.#DAX #dataanalysis #datascience #elearning #powerbi #powerbidesktop","29

                Zintle Faltein-Maqubela and 28 others",0,0,"6,909"
