our_competitors,Date_Posted,Media_Type,Post_Caption,Likes_Counts,Comments_Counts,Shared_Counts,total_followers
Simplilearn,2022-04-21 18:14:29.784992,"Other: Poll, Shared Post, etc","Pull shot for a six?No Guarantee.But with Simplilearn Job Guarantee Programs*, your job is surely guaranteed! 😎With Salary Hikes of up to 260% and job opportunities from over 5000+ Hiring Partners, you can now be assured of a job when you learn with us. Get more details here: bit.ly/3vCWDEd#GuaranteeKaSeason #JobGuaranteed",175,2,5 ,"330,866"
Simplilearn,2022-04-25 14:14:29.784992,Image,A 100% job guarantee with the Simplilearn Job Guarantee Program*…Step into the power mode now! 💪#GuaranteeKaSeason,14,0,0,"330,866"
Simplilearn,2022-04-22 18:14:29.784992,"Other: Poll, Shared Post, etc","What a fantastic end to the week!Here is a sneak peek into today's event — a meet & greet with Ms. Deborah Quazzo at the Simplilearn office today, where many other startup enthusiasts also joined us.Our CEO, Krishna Kumar and Ms. Deborah came together to share their insights about the overall startup and Ed-tech space. It was indeed an engaging and an informative session.Here's a glimpse of the session for y'all! :)",202,1,3 ,"330,866"
Simplilearn,2022-04-21 18:14:29.784992,"Other: Poll, Shared Post, etc",Webinar - Handling Google's Transition to Responsive Search AdsPowered by Restream https://restream.io/,73,67,0,"330,866"
Simplilearn,2022-04-18 18:14:29.784992,"Other: Poll, Shared Post, etc","Even you would have believed that some of these are true, especially the last point.So, we have busted the biggest myths of appraisals for you! Go check them out and share with your friends, too.",50,0,0,"330,866"
Simplilearn,2022-04-11 18:14:29.784992,"Other: Poll, Shared Post, etc","#HiringAlertWe are looking for qualified Instructors and Experts in India and the USA. If you are interested or know someone, you can write to us at: teach@simplilearn.com.Make the most of this opportunity! :)#hiring #jobs #opportunities #trainer #teaching #career #instructors #onlinelearning #hiringpost #jobupdates",78,21,9 ,"330,866"
Simplilearn,2022-04-19 18:14:29.784992,Image,"Efficiency and effectiveness are the two halves of productivity. You can be really smart about your schedule by focusing on the right things at the right time and executing them in the best possible manner.So, go, make the most of TODAY!#TimeManagement #Productivity #TuesdayMotivation #TransformationTuesday",90,0,0,"330,866"
Simplilearn,2022-04-20 18:14:29.784992,"Other: Poll, Shared Post, etc","Google Ads is sunsetting the old expanded text ad (ETA) format and you will only be able to create responsive search ads (RSAs) starting in June.Brad Geddes, Co-Founder, AdAlysis joins us for a masterclass to share his insights into  Google's Transition to Responsive Search Ads.Join us for this FREE masterclass to stay on top of Google Ads updates - bit.ly/388mZ8H",11,0,0,"330,866"
Simplilearn,2022-04-19 18:14:29.784992,"Other: Poll, Shared Post, etc",Webinar - How to Build a Personal Brand and Unlock Career Success in 2022Powered by Restream https://restream.io/,103,13,4 ,"330,866"
Simplilearn,2022-04-11 18:14:29.784992,"Other: Poll, Shared Post, etc","You might never have to use these tips. But it always helps to be prepared for things that may not go as per your expectations!P. S - It's normal to get negative or constructive feedback. Just take it in your stride, work on it and move on! Success is not just an outcome, it is a process.",54,0,0,"330,866"
Simplilearn,2022-04-04 18:14:29.784992,"Other: Poll, Shared Post, etc","This is going to be exciting! We have collaborated with your favorite YouTubers: Aditya Thakur, Susanth Sutheesh A Guide To Cloud and Ritesh Kanjee Augmented Startups to design courses you'd love to learn. Check out the courses and get started! #Skillup",33,1,3 ,"330,866"
Simplilearn,2022-04-04 18:14:29.784992,"Other: Poll, Shared Post, etc","Well, the cue to getting your next salary hike is right here!#Appraisal #PerformanceReview #SalaryHike",62,0,0,"330,866"
Simplilearn,2022-04-18 18:14:29.784992,Image,"Stories like these are our go-to motivation sources.Dr. Prakash Khaire, thank you so much for trusting us and letting us be a part of your journey. It’s only #OnwardsAndUpwards from here! :)",87,2,1 ,"330,866"
Simplilearn,2022-04-11 18:14:29.784992,Image,Patience. Hard Work. Determination.Manish Partey is a true example of that 👏A big congratulations and more success to you! #OnwardsAndUpwards,84,5,0,"330,866"
Simplilearn,2022-04-18 18:14:29.784992,Image,"Say goodbye to the “aaaarrrgghhh” feeling!!Plan, Organize, Prioritize and Delegate.#ProductivityHack #TransformationTuesday",57,0,0,"330,866"
Simplilearn,2022-03-25 18:14:29.784992,"Other: Poll, Shared Post, etc","The 2nd edition of the Data-Driven Government Conference took place a few weeks back at the Movenpick Grand Al Bustan in Dubai. The event saw over 250 international decision makers including top data experts, analytics specialists, innovation and data security leads and technology leaders coming together to discuss the future of data in Government. Simplilearn is proud to be a part of this movement and to represent the digital skills space at this grand event. #digitaltransformation #upskilling #reskilling #data #technology #digitalskills #learning #onlinelearning #governance #innovation #dubai #DataDriven #Government #DigiConnect #theGMgroup #GreatMindsGroup #GMevents",102,3,1 ,"330,866"
Simplilearn,2022-03-25 18:14:29.784992,"Other: Poll, Shared Post, etc","One of the most awaited times of the year is around the corner.Yes, we are talking about appraisals. Here’s a quick guide to help you think and prepare better for the important discussion. What other things do you think can help anyone prepare for appraisal discussions better? Share your thoughts in the comments. #appraisals #opportunities #career #salary #assessment",38,0,0,"330,866"
Simplilearn,2022-03-25 18:14:29.784992,"Other: Poll, Shared Post, etc","Imagine waking up after an uninterrupted sleep of 8 hours—fresh, energized, clear headed—ready to take on the day.Seems like just the kind of day you'd like, right! Sleep is your charger, your source of rejuvenation and your biggest productivity hack.That’s why they say, A good laugh and sleep are the two best cures for anything.Hoping these alarms will help you prioritize sleep. #WorldSleepDay",65,0,0,"330,866"
Simplilearn,2022-04-04 18:14:29.784992,"Other: Poll, Shared Post, etc",Expert Masterclass with Maryam Daryabegi : Design Thinking for Digital T…Powered by Restream https://restream.io/,51,57,4 ,"330,866"
