our_competitors,Date_Posted,Media_Type,Post_Caption,Likes_Counts,Comments_Counts,Shared_Counts,total_followers
NYC Data Science Academy,2022-04-25 17:27:17.337329,Image,"Sign up now to watch one of our free webinars 💻 on A/B Testing for Data Science (with Python & R) 👀: https://bit.ly/3Orene5 and if you have not signed up to our bootcamp, visit our website. 👨‍💻#datascience #machinelearning #programming #datasciencecareer #coding #programmer #datasciencebootcamp #bigdata #data #ai #dataanalytics #datasciencetraining #datasciencecourses #datasciencecareer",0,0,0,"7,187"
NYC Data Science Academy,2022-04-24 18:27:17.337329,Image,"NYC Data Science Academy has launched a new course Data Analysis and Visualization with Python. This course can help boost your data science career. If you are interested, fill out our free application to unlock this course: https://bit.ly/3xObyxQ ✅#datascience #machinelearning #programming #datasciencecareer #coding #programmer #datasciencebootcamp #bigdata #data #ai #dataanalytics #datasciencetraining #datasciencecourses #datasciencecareer",0,0,0,"7,187"
NYC Data Science Academy,2022-04-18 18:27:17.337329,Image,"Check out one of our student’s projects: Netflix Still a Movie Streaming Giant? Projects are assigned at NYC Data Science Academy to put what you've learnt during your bootcamp to the test. For more information, check out our website and read our student’s blog ➡️https://bit.ly/3jhsZ1q ✅#datascience #machinelearning #programming #datasciencecareer #coding #programmer #datasciencebootcamp #bigdata #data #ai #dataanalytics #datasciencetraining #datasciencecourses #datasciencecareer",1,0,0,"7,187"
NYC Data Science Academy,2022-04-18 18:27:17.337329,Image,Another wonderful feedback from a NYC Data Science Academy student. ⭐️⭐️⭐️⭐️⭐️We always encourage our students to provide honest feedback on their academy experience because we are here to assist everyone to become a brilliant data scientist. We look forward to reading about your experience. #datascience #machinelearning #programming #datasciencecareer #coding #programmer #datasciencebootcamp #bigdata #data #ai #dataanalytics #datasciencetraining #datasciencecourses #datasciencecareer,3,0,0,"7,187"
NYC Data Science Academy,2022-04-18 18:27:17.337329,Image,"After 9 years, NYC Data Science Academy has converted to an .edu domain. Many thanks for the support from our students and community to make this possible. We will always provide rigorous and robust training from our bootcamps as promised.",48,1,0,"7,187"
NYC Data Science Academy,2022-04-18 18:27:17.337329,Image,Are you interested in learning essential concepts used in data science? Join our free workshop 🏠 on tomorrow at 5-6 PM 🕒. To join click here ➡️https://bit.ly/3LRmcrE ✅#datascience #machinelearning #programming #datasciencecareer #coding #programmer #datasciencebootcamp #bigdata #data #ai #dataanalytics #datasciencetraining #datasciencecourses #datasciencecareer,1,0,0,"7,187"
NYC Data Science Academy,2022-04-11 18:27:17.337329,"Other: Poll, Shared Post, etc",What made you smile today? 🙂,1,1,0,"7,187"
NYC Data Science Academy,2022-04-11 18:27:17.337329,Article,#datascience #machinelearning #programming #datasciencecareer #coding #programmer #datasciencebootcamp #bigdata #data #ai #dataanalytics #datasciencetraining #datasciencecourses #datasciencecareer,1,0,0,"7,187"
NYC Data Science Academy,2022-03-25 18:27:17.337329,"Other: Poll, Shared Post, etc","If I could go anywhere in the world right now, I’d be in _________",0,0,0,"7,187"
NYC Data Science Academy,2022-04-11 18:27:17.337329,Image,"Just a big shout out to Robert Sandberg who recently landed a full-time Data Scientist role at Medical Solution. He graduated from our remote live Bootcamp program (https://bit.ly/3xa5CyO) which is our flagship product and one of the most popular education programs.Before taking the Bootcamp, Robert was a private tutor where he was self-employed.Many thanks for recognizing our talents, Medical Solution! We welcome you to hire more of our high-caliber graduates in the near future!#datascience #machinelearning #programming #datasciencecareer #coding #programmer #datasciencebootcamp #bigdata #data #ai #dataanalytics #datasciencetraining #datasciencecourses #datasciencecareer #alumni",12,0,0,"7,187"
