our_competitors,Date_Posted,Media_Type,Post_Caption,Likes_Counts,Comments_Counts,Shared_Counts,total_followers
HyperionDev,2021-10-25 18:18:06.417603,"Other: Poll, Shared Post, etc","If you could change the world, how would you do it? 🌍Well, you might start with just a one and a zero.At our online coding bootcamps, other humans review your code. Their deep experience will support you in acquiring career-focused skills and the ability to code in a creative, relevant, and powerful way. ⚡️ Just imagine what you can do with code. #CodeDidThisExplore your potential here: https://bit.ly/3bIYMV0",28,0,0,"6,317"
HyperionDev,2022-04-20 18:18:06.417603,Image,"Our courses are accessible and effective, & our new accredited Learnership is no different! 🚀 💯  The statistics speak for themselves:⏰  Flexible learning: 55% of our graduates completed their bootcamps with a full-time job✅  Accessible for all levels: 80% of our graduates never came from IT-related backgrounds🎓  Effective: 84% of our graduates achieved their desired career outcomes after graduation.Want to see what code can do for your employees & business?  Get in touch on our website to learn more about our Learnership & pricing: https://bit.ly/3Osiqqv",2,0,0,"6,317"
HyperionDev,2022-04-20 18:18:06.417603,Image,"Reward your excellence and get accredited🏅Register for our Software Engineering, Web Development or Data Science Bootcamps by 25 April, and you will get an accredited add-on, worth R7600, with our Database Skills Programme absolutely free!Kickstart your tech career here: https://bit.ly/388swMM",2,0,0,"6,317"
HyperionDev,2022-04-18 18:18:06.417603,Image,"📢  Calling all employers 📢 HyperionDev’s new Learnership Programme boasts a wealth of benefits.Upskill your entry-level employees with an NQF Level 5 National Certificate in Information Technology (Systems Development)! In just 12 months, they'll have the practical tech and workplace skills they need to drive growth in your business!Interested? Set up a call on our website to learn more about the learnership & pricing: https://bit.ly/3Kzrg3s",7,0,0,"6,317"
HyperionDev,2022-04-18 18:18:06.417603,Image,"Congrats, Danny Kahts 💪",0,0,0,"6,317"
HyperionDev,2022-04-18 18:18:06.417603,Image,Congrats Esethu Pakela 👏,0,0,0,"6,317"
HyperionDev,2022-04-18 18:18:06.417603,Image,"""The code reviewers give their heart to the business."" 🤩Thank you Darlington! This is what we like to hear and strive to do! Our code reviewers provide guidance, support, and of course, expert code review throughout your bootcamp. Start your coding journey today! Enrol now: https://bit.ly/3O1VBdf",8,0,0,"6,317"
HyperionDev,2022-04-11 18:18:06.417603,Image,"Can you crack the code? 👀 🥚 🐣Let us know in comments how many squares you think there are👇If this was 'easy peasy' for you, have you considered learning to code? You can start today, enrol for a coding bootcamp now: https://bit.ly/3udwBI1",13,25,3 ,"6,317"
HyperionDev,2022-04-11 18:18:06.417603,Image,"There is nothing more satisfying than being part of an organisation that is giving people the tools they need to change their lives. Tech is the future and education is power, combine these two together and you're unstoppable 👊 🚀That is what HyperionDev is trying to give to the next generation of aspiring developers. Join us in making a difference and closing the tech skills gap. See our job openings: https://bit.ly/3uhd7SJ",8,0,0,"6,317"
HyperionDev,2022-04-11 18:18:06.417603,Image,"Are you looking for a new challenge? Or looking to make a career change into a meaningful career in the dynamic edtech space? 🤓 Our team is growing, check out all of our available jobs here: https://lnkd.in/g7DqZPc#edtech #career #jobs #team",7,0,0,"6,317"
