Username,Datetime,Tweet Id,Text,likeCount,Media,Source,ReplyCount,RetweetCount
simplilearn,2022-03-27 20:25:47+00:00,1508178489651957766,"@Bhaktipada123 Hi Bhaktipada, this is not the experience we aim to provide. Please share your registered contact details via DM using the link below and we'll check this out.
https://t.co/1aWTmPao2N",0,,"<a href=""https://app.agorapulse.com"" rel=""nofollow"">Agorapulse app</a>",0,0
simplilearn,2022-03-27 20:23:58+00:00,1508178033865379846,"@AtulVer17956830 Hi Atul, that's not what we like to hear. Please share your registered contact details via DM using the link below and we'll check this out.
https://t.co/1aWTmPao2N",0,,"<a href=""https://app.agorapulse.com"" rel=""nofollow"">Agorapulse app</a>",0,0
simplilearn,2022-03-27 06:38:10+00:00,1507970215488991232,"@Muhamma67464867 @SimpleLearn Great to see you upskill, Ahmad. Happy Learning!",2,,"<a href=""https://app.agorapulse.com"" rel=""nofollow"">Agorapulse app</a>",0,1
simplilearn,2022-03-27 06:37:03+00:00,1507969934483238919,@akashmalvi91 Hi Akash! The fee is mentioned on the course page itself. You can fill out the 'Request More Information' form on the right-hand side of the specific course page that you're interested in &amp; our learning consultants should get in touch with you.,1,,"<a href=""https://app.agorapulse.com"" rel=""nofollow"">Agorapulse app</a>",0,0
simplilearn,2022-03-27 06:19:17+00:00,1507965462453268480,"@Vinodrathod6755 Hi Vinod, that's not what we like to hear. Please share your registered contact details via DM using the link below and we'll check this out.

https://t.co/1aWTmOSMEd",0,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0
simplilearn,2022-03-27 02:30:03+00:00,1507907773912264707,"The one who learns never gives up!

We’re proud of our learners like Rameshkumar, who’re curious, continue to upgrade their skills and knowledge.

Thank you for choosing us as your learning partner. #OnwardsAndUpwards https://t.co/rV8cDVEDxp",1,"[Photo(previewUrl='https://pbs.twimg.com/media/FO0qIHTXoAEWyUS?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FO0qIHTXoAEWyUS?format=jpg&name=large')]","<a href=""https://app.agorapulse.com"" rel=""nofollow"">Agorapulse app</a>",0,0
simplilearn,2022-03-25 12:55:09+00:00,1507340308870320160,"…𝒂𝒏𝒅 𝒕𝒉𝒆 𝒘𝒆𝒆𝒌𝒆𝒏𝒅 𝒊𝒔 𝒐𝒗𝒆𝒓 𝒊𝒏 𝒕𝒉𝒆 𝒃𝒍𝒊𝒏𝒌 𝒐𝒇 𝒂𝒏 𝒆𝒚𝒆.

Not this one, though!

Here’s a list of the things you can do to get the most out of the weekend which starts in a few hours!

Also, do checkout out the Free courses - https://t.co/y3j6jCcHDb https://t.co/NfW11BHYRc",572,"[Photo(previewUrl='https://pbs.twimg.com/media/FOsmA_bX0B0mk_o?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FOsmA_bX0B0mk_o?format=jpg&name=large')]","<a href=""https://app.agorapulse.com"" rel=""nofollow"">Agorapulse app</a>",3,21
simplilearn,2022-03-25 09:54:22+00:00,1507294814458593280,"@jangidparag7 @Diksharma29 Hi Parag, we're looking into this and will soon get in touch with her.",0,,"<a href=""https://app.agorapulse.com"" rel=""nofollow"">Agorapulse app</a>",0,0
simplilearn,2022-03-25 09:49:25+00:00,1507293566271471617,"@Diksharma29 Hi Diksha, this is not the experience we aim to provide. We're looking into this and will get in touch soon to assist.",0,,"<a href=""https://app.agorapulse.com"" rel=""nofollow"">Agorapulse app</a>",0,0
simplilearn,2022-03-25 05:51:18+00:00,1507233646071226372,@johnselephilip You're welcome.,1,,"<a href=""https://app.agorapulse.com"" rel=""nofollow"">Agorapulse app</a>",0,0
simplilearn,2022-03-25 03:48:40+00:00,1507202781844844556,"@ashwinfnb Hi Ashwin, we're looking into this and will soon get in touch with you.",0,,"<a href=""https://app.agorapulse.com"" rel=""nofollow"">Agorapulse app</a>",0,0
simplilearn,2022-03-25 03:44:11+00:00,1507201654650720265,@donakinpelu Hello there! Glad to know you had a great learning experience with us. Thank you for sharing this; Happy learning 🙌🏻,0,,"<a href=""https://app.agorapulse.com"" rel=""nofollow"">Agorapulse app</a>",0,0
simplilearn,2022-03-25 03:39:16+00:00,1507200418199351301,"@Amitmalik04 Hi Amit, we have different payment options available to make it lighter on your pocket. You can fill out the 'Request More Information' form on the right-hand side of the specific course page that you're interested in &amp; our learning consultants should get in touch with you.",0,,"<a href=""https://app.agorapulse.com"" rel=""nofollow"">Agorapulse app</a>",0,0
simplilearn,2022-03-25 03:38:41+00:00,1507200271075717121,"@johnselephilip Great to see you upskill, John. Happy Learning!",1,,"<a href=""https://app.agorapulse.com"" rel=""nofollow"">Agorapulse app</a>",1,0
simplilearn,2022-03-25 03:17:01+00:00,1507194817037713416,"@Malion_G Hi Malion, that's not what we like to hear. Please share your registered contact details via DM using the link below and we'll check this out.

https://t.co/1aWTmPao2N",0,,"<a href=""https://app.agorapulse.com"" rel=""nofollow"">Agorapulse app</a>",0,0
simplilearn,2022-03-25 03:10:02+00:00,1507193062086348801,"@jyothindrapavan @IITKanpur Hi, that's not what we like to hear. Please share your registered contact details via DM using the link below and we'll check this out.

https://t.co/1aWTmPao2N",0,,"<a href=""https://app.agorapulse.com"" rel=""nofollow"">Agorapulse app</a>",0,0
simplilearn,2022-03-25 03:02:07+00:00,1507191068877627394,"@SWAYYYAM @Simplilearn_IND Hi there, that's not what we like to hear. Please share your registered contact details via DM using the link below and we'll check this out.

https://t.co/1aWTmPao2N",0,,"<a href=""https://app.agorapulse.com"" rel=""nofollow"">Agorapulse app</a>",0,0
simplilearn,2022-03-25 02:58:59+00:00,1507190278758752264,"@anilsethi1703 Hi Anil, that's not what we like to hear. Please share your registered contact details via DM using the link below and we'll check this out.

https://t.co/1aWTmPao2N",0,,"<a href=""https://app.agorapulse.com"" rel=""nofollow"">Agorapulse app</a>",0,0
simplilearn,2022-03-24 13:03:07+00:00,1506979927337357320,"There will never be a perfect time. So why wait? Just start where you are. 

So, which opportunity are you working on creating right now? Tell us in the comments.

#ThursdayThoughts #ThursdayMotivation https://t.co/B5ER9gG1A0",576,"[Photo(previewUrl='https://pbs.twimg.com/media/FOneQBrXsAkv4KV?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FOneQBrXsAkv4KV?format=jpg&name=large')]","<a href=""https://app.agorapulse.com"" rel=""nofollow"">Agorapulse app</a>",2,19
simplilearn,2022-03-24 06:05:59+00:00,1506874952141750276,"@SunilLe68735329 Hello Sunil, you can find all relevant details like duration, eligibility criteria, curriculum, certification &amp; fee on the course page below:

https://t.co/seHsnhsGMb",0,,"<a href=""https://app.agorapulse.com"" rel=""nofollow"">Agorapulse app</a>",0,0
simplilearn,2022-03-24 05:13:38+00:00,1506861778231250946,@uptimusdigitals Hey there! Glad to know you're having a great learning experience with us. Thank you for sharing this; Happy learning 🙌🏻,1,,"<a href=""https://app.agorapulse.com"" rel=""nofollow"">Agorapulse app</a>",0,0
simplilearn,2022-03-23 13:27:03+00:00,1506623563826188301,"@AkashPalkar143 Hi there, that's not what we like to hear. Please share your registered contact details via DM using the link below and we'll check this out.

https://t.co/1aWTmPao2N",0,,"<a href=""https://app.agorapulse.com"" rel=""nofollow"">Agorapulse app</a>",0,0
simplilearn,2022-03-23 13:26:49+00:00,1506623504732540948,"@AkashPalkar143 Hi there, that's not what we like to hear. Please share your registered contact details via DM using the link below and we'll check this out.

https://t.co/1aWTmPao2N",0,,"<a href=""https://app.agorapulse.com"" rel=""nofollow"">Agorapulse app</a>",0,0
simplilearn,2022-03-23 11:28:27+00:00,1506593716412502023,"It’s the Caltech CTME - Simplilearn Online Convocation Ceremony tomorrow—an event that celebrates the accomplishments of our learners who took out time from their busy schedules and invested in learning and upskilling.
Do join us in cheering for our successful learners.",5,,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",1,0
simplilearn,2022-03-23 08:36:03+00:00,1506550328438796291,"Our upcoming webinar with none other than the expert himself - Vijay Rajandram, Founder, Data That Matters LLC will be all about how to build a solid data strategy for your company, and more.

Register here for FREE - https://t.co/mq4brB8wGd https://t.co/2O6SC0688R",3,"[Photo(previewUrl='https://pbs.twimg.com/media/FOhXicVXMAEJdbb?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FOhXicVXMAEJdbb?format=jpg&name=large')]","<a href=""https://app.agorapulse.com"" rel=""nofollow"">Agorapulse app</a>",0,0
simplilearn,2022-03-23 06:53:19+00:00,1506524475218489344,"@ArkN_007 Hey there, why don't we connect you with our experts? Please share your contact details via DM and our learning consultant will get in touch soon.",0,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0
simplilearn,2022-03-23 01:46:47+00:00,1506447332207992836,"@shigoakin Great to see you upskill, Olusegun. Happy Learning!",1,,"<a href=""https://app.agorapulse.com"" rel=""nofollow"">Agorapulse app</a>",0,0
simplilearn,2022-03-22 06:52:54+00:00,1506161983493926916,What has been the top focus area in your career this quarter? #Appraisals,1,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,1
simplilearn,2022-03-21 05:26:13+00:00,1505777780763492355,"@janmejay30 Congratulations, Janmejay! Great to see you upskill &amp; move closer to your career goals.",0,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1,0
simplilearn,2022-03-21 05:25:15+00:00,1505777538743734273,"@Ravimalappatt @sachinrf Congratulations, Ravisankear! Great to see you upskill &amp; move closer to your career goals.",1,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,1
simplilearn,2022-03-21 02:15:19+00:00,1505729738731515905,@Prakkas76145015 Hi Prakkash! The fee is mentioned on the course page itself. You can fill out the 'Request More Information' form on the right-hand side of the specific course page that you're interested in &amp; our learning consultants should get in touch with you.,0,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0
