Username,Datetime,Tweet Id,Text,likeCount,Media,Source,ReplyCount,RetweetCount
2Uinc,2022-04-05 16:01:52+00:00,1511373565257474054,@chippaucek @agarwaledu @asugsvsummit #NoBackRow,0,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0
2Uinc,2022-04-05 15:59:22+00:00,1511372937709957123,"Today at @asugsvsummit, hear from @carolinelevande and @andrewhermalyn who describe how @RiceUniversity partners to serve a greater percentage of the modern student landscape. 
Register here for free: https://t.co/ifAUc98Ges 2/2",2,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,1
2Uinc,2022-04-05 15:59:22+00:00,1511372935893856268,Digital transformation gives universities the opportunity to engage with groups of diverse and non-traditional learners around the globe. 1/2 https://t.co/eGMRaSwN82,2,"[Photo(previewUrl='https://pbs.twimg.com/media/FPl5jduXsAQmEoa?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FPl5jduXsAQmEoa?format=jpg&name=large')]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1,0
2Uinc,2022-04-05 14:50:23+00:00,1511355574700720137,"Change skills + technology skills = leaders. Learn why our Spanish partner, @IEuniversity, is leaning into boot camps that offer stackable and modular learning to better prepare the next generation for successful careers. #NoBackRow https://t.co/OeN689Wo2c",1,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",0,1
2Uinc,2022-04-04 23:53:21+00:00,1511129830426923009,"""You can't compete in #edtech unless you are relentlessly focused on learner outcomes. And you can't survive as an educational institution if you're not focused on business outcomes."" @luyenchou at #asugsvsummit @asugsvsummit https://t.co/bRhTDrptbh",12,"[Photo(previewUrl='https://pbs.twimg.com/media/FPicFr6WYAIzlDD?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FPicFr6WYAIzlDD?format=jpg&name=large')]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1,4
2Uinc,2022-04-04 19:04:03+00:00,1511057023676428300,"Exciting trends underlie the realignment of higher education and the workforce. Next up at @asugsvsummit, hear more about them from @edXonline Founder and 2U Chief Open Education Officer @Agarwaledu. #asugsvsummit 
Register to watch for free: https://t.co/Hf6Qhbh22g https://t.co/uAkc9ZJw0d",3,"[Photo(previewUrl='https://pbs.twimg.com/media/FPhaH13X0AoY-_r?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FPhaH13X0AoY-_r?format=jpg&name=large')]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0
2Uinc,2022-04-04 17:54:21+00:00,1511039484879589384,"Meet Adam Drudge, our new Chief People Officer. He sat down with @ChipPaucek to discuss his motivations and vision for the company’s employee experience following our industry redefining combination with @edXonline last year.
Continue reading &gt;&gt; https://t.co/Y0vUsRnkrk",11,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0
2Uinc,2022-04-04 16:34:25+00:00,1511019367294713862,"Today at @asugsvsummit, hear from @luyenchou who’ll offer tips and strategies that keep faculty and their #edtech partners working toward the same goals, so you can partner with confidence. #asugsvsummit
Learn More: https://t.co/3LJp5JoX8i https://t.co/fHw1aOTeBF",1,"[Photo(previewUrl='https://pbs.twimg.com/media/FPg3-x0XMAEJu_h?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FPg3-x0XMAEJu_h?format=jpg&name=large')]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,1
2Uinc,2022-04-04 15:02:59+00:00,1510996357766684681,"Today at @asugsvsummit, learn how COVID left countless MSW students stranded without field placement opportunities – and how we responded to support @SUFalkCollege. #asugsvsummit
Attend the session virtually by registering here for free: https://t.co/ifAUc98Ges https://t.co/7T5IKuqVDy",3,"[Photo(previewUrl='https://pbs.twimg.com/media/FPgizCRXsAIGKVu?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FPgizCRXsAIGKVu?format=jpg&name=large')]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,2
2Uinc,2022-04-01 16:20:48+00:00,1509928778671161344,".@BankofAmerica has a new cyber security analyst in Brian Lorusso after his decision to reskill during the pandemic led to a local news story, an interview, and an offer. Hear Brian’s advice to learners considering their options. #NoBackRow https://t.co/nyTl1FEeRG",1,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0
