Username,Datetime,Tweet Id,Text,likeCount,Media,Source,ReplyCount,RetweetCount
DataScienceDojo,2022-03-27 23:07:59+00:00,1508219309105029128,"@Redisinc crash course for AI &amp; ML: This crash course is intended for beginners with no prior experience with Redis. By the end of the session, you will know:

Start learning: https://t.co/C8oyMUYjBE",0,,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>",0,0
DataScienceDojo,2022-03-27 20:08:00+00:00,1508174016820957184,"💥 Data Science Workflow! 
Source: @CatherineAdenle

#DataScience #WorkFlow #AI https://t.co/bFxOXoB1mv",56,"[Photo(previewUrl='https://pbs.twimg.com/media/FO4cRq8XIAYiQ8U?format=png&name=small', fullUrl='https://pbs.twimg.com/media/FO4cRq8XIAYiQ8U?format=png&name=large')]","<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>",1,17
DataScienceDojo,2022-03-27 18:07:59+00:00,1508143811448479751,"💡 This video talks about the different types of traffic sources and how studying the behavior of each source helps identify key areas for improvement. Furthermore, it discusses what system-defined mediums and user-defined mediums are: https://t.co/sns53Ukw4W",3,,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>",0,2
DataScienceDojo,2022-03-27 14:07:59+00:00,1508083416327143430,"📜 Here is a list of the 20 most followed AI influencers of 2021 by @getengati: https://t.co/hVhG7Lw5SP

#DataScience #AI #Influencers #2021",16,,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>",2,12
DataScienceDojo,2022-03-27 02:02:59+00:00,1507900961179766789,"✔️ This video talks about the diverse types of leads and how they are related to each other. Furthermore, it talks about different ways organizations can segment their customers: https://t.co/82GhIf81g4

#LeadScoring #MarketingAnalytics #DSDojo",4,,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>",0,1
DataScienceDojo,2022-03-27 00:33:00+00:00,1507878317650812938,"💡 MLOps Crash Course for Beginners: This crash course is intended for data scientists with basic knowledge of developing machine learning models in a Jupyter notebook setting. RSVP now so you don't miss it: https://t.co/7zEHTo4tMG

#MLOps #CrashCourse #Beginners #FreeCourse https://t.co/YnJNxbQFU0",11,"[Photo(previewUrl='https://pbs.twimg.com/media/FO0PVuWX0AozwIl?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FO0PVuWX0AozwIl?format=jpg&name=large')]","<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>",0,4
DataScienceDojo,2022-03-26 23:03:00+00:00,1507855666714755075,"💥 Use cases of Machine Learning in the real world across domains! 
Source: @TMSayan

#MachineLearning #DataScience #AI https://t.co/15zgqzmumF",266,"[Photo(previewUrl='https://pbs.twimg.com/media/FOz6vR1XEAAF2RB?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FOz6vR1XEAAF2RB?format=jpg&name=large')]","<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>",3,78
DataScienceDojo,2022-03-26 20:03:00+00:00,1507810368315346951,"💡 Should you use PyTorch vs TensorFlow in 2022? This guide walks through the major pros and cons of PyTorch vs TensorFlow, and how you can pick the right framework: https://t.co/o0qWhJHvv2

#PyTorch #TensorFlow #2022 https://t.co/ubtHnjwnYc",22,"[Photo(previewUrl='https://pbs.twimg.com/media/FOzRikzWUAE6xs_?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FOzRikzWUAE6xs_?format=jpg&name=large')]","<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>",0,11
DataScienceDojo,2022-03-26 18:03:10+00:00,1507780211026407429,"🔥 Get started with data science now, we have 100+ tutorials &amp; crash courses that can guide you your way. Start learning now: https://t.co/7wYdf7gVpY

#DataScience #AI #ML #FreeCourses #Tutorials #DSDojo https://t.co/cybMGzFZNM",15,"[Photo(previewUrl='https://pbs.twimg.com/media/FOy2HHpXIBI4zBY?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FOy2HHpXIBI4zBY?format=jpg&name=large')]","<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>",0,8
DataScienceDojo,2022-03-26 14:03:04+00:00,1507719789963272192,"🤔 What are #Actions? How can Actions be used to improve user #Engagement? How to define important signposts for actions? How to use Actions to study #UserBehavior? How to use Actions for marketing purposes? 

Find all the answers here: https://t.co/32MwUUmA06",1,,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>",0,0
DataScienceDojo,2022-03-26 02:00:59+00:00,1507538073151840260,"👉 In this tutorial, you will discover how to develop a stacked generalization ensemble for deep learning neural networks: https://t.co/zUNoUNOlHO

#DeepLearning #NeuralNetwork #DataScience",4,,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>",0,1
DataScienceDojo,2022-03-26 01:29:59+00:00,1507530269875650565,The 10 Most Innovative #ArtificialIntelligence Companies Of 2020. Learn more: https://t.co/ir1EAwVUUL,14,,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>",0,3
