Username,Datetime,Tweet Id,Text,likeCount,Media,Source,ReplyCount,RetweetCount
HypDev,2022-03-25 19:16:04+00:00,1507436172410294279,"You could be at the heart of the digital economy 🌍

Get started with our Software Engineering Bootcamp, &amp; become an in-demand programmer within 6 months! Enrol: https://t.co/flZ28Swm8X

The career possibilities are endless - here are just a few 👉 https://t.co/kFTAxRUBfT",0,"[Photo(previewUrl='https://pbs.twimg.com/media/FOt9MueXMAEFjDY?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FOt9MueXMAEFjDY?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FOt9NG1XEAEJ9eL?format=png&name=small', fullUrl='https://pbs.twimg.com/media/FOt9NG1XEAEJ9eL?format=png&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FOt9NQZXwAI-6v-?format=png&name=small', fullUrl='https://pbs.twimg.com/media/FOt9NQZXwAI-6v-?format=png&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FOt9NZ6WQAEpIwO?format=png&name=small', fullUrl='https://pbs.twimg.com/media/FOt9NZ6WQAEpIwO?format=png&name=large')]","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",0,0
HypDev,2022-03-25 12:05:01+00:00,1507327693595070465,"Our team is growing and we need you 💪

We are looking for a Marketing Manager to join our Marketing team. If you enjoy working in a small, collaborative and hands on team, we want to hear from you. 

Apply here: https://t.co/iW2KZWjykm https://t.co/96qoH88INF",1,"[Photo(previewUrl='https://pbs.twimg.com/media/FOsajIYX0AoUMgq?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FOsajIYX0AoUMgq?format=jpg&name=large')]","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",0,0
HypDev,2022-03-24 12:18:01+00:00,1506968577018146821,"Build your future success, today 🚀

With HyperionDev you can learn to code with guidance and support, and build a professional portfolio and profile to make you job-ready. Take it from Pule. 

Start today: https://t.co/emOwY1Jjd4
#CodeDidThis https://t.co/9CwuWAhPwQ",0,"[Photo(previewUrl='https://pbs.twimg.com/media/FOnT7umXsAYualo?format=png&name=small', fullUrl='https://pbs.twimg.com/media/FOnT7umXsAYualo?format=png&name=large')]","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",0,0
HypDev,2022-03-23 12:07:01+00:00,1506603420379238404,"You can SAVE up to R7500 this month🔥  
How? Register for any HyperionDev bootcamp before 1 April 2022 at our current prices &amp; start anytime before December 2022. 
Ts &amp; Cs apply.

Enrol now: https://t.co/8wN9ZaYkbd https://t.co/6Glql5JgR7",1,"[Photo(previewUrl='https://pbs.twimg.com/media/FOiH02gXIAAm6MX?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FOiH02gXIAAm6MX?format=jpg&name=large')]","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",0,0
HypDev,2022-03-23 08:32:01+00:00,1506549313039740929,"We made history this week! Over 800 investors have backed us on the crowdfunding platform Crowdcube. Our campaign closes at 2pm UK time this Friday, you can become a shareholder in HyperionDev with an investment starting from £10/R200. 
Visit https://t.co/N5WtgeIJMi to learn more https://t.co/RQzIkohzhW",1,"[Photo(previewUrl='https://pbs.twimg.com/media/FOhWnarXIAA49-V?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FOhWnarXIAA49-V?format=jpg&name=large')]","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",0,1
HypDev,2022-03-22 18:15:09+00:00,1506333678149980165,"Learning to code is only the beginning of your journey. After that, it's all about finding the best job for you 🏆

Swipe to discover our grad programme &amp; the team that'll get you ready for your career in tech 👉

Secure your future and enrol today: https://t.co/Vgwo2EpY2a https://t.co/uVUah3KhuK",0,"[Photo(previewUrl='https://pbs.twimg.com/media/FOeSfAMX0AYNTWE?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FOeSfAMX0AYNTWE?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FOeSfNAX0AgNYkl?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FOeSfNAX0AgNYkl?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FOeSfeWXEAYpOev?format=png&name=small', fullUrl='https://pbs.twimg.com/media/FOeSfeWXEAYpOev?format=png&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FOeSfsiXMBA4ev3?format=png&name=small', fullUrl='https://pbs.twimg.com/media/FOeSfsiXMBA4ev3?format=png&name=large')]","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",0,0
HypDev,2022-03-21 17:27:06+00:00,1505959196839219201,"Last chance to join our Virtual Open Day tomorrow! 

These informative info sessions are the perfect opportunity to find out about our coding bootcamps &amp; get your questions answered! We can help you make the right choice 🔥

Register for our events here: https://t.co/54UuT6HBhU https://t.co/CWhHRAD9uO",1,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1505959173661544452/pu/img/Mt9BKdJz_69DM9M_.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1505959173661544452/pu/vid/540x540/GU7N593wr_pzzJgc.mp4?tag=12', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1505959173661544452/pu/vid/320x320/Qptg9ytr1_pLOw8G.mp4?tag=12', bitrate=432000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1505959173661544452/pu/pl/ZEKLKR7onffd4VS3.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1505959173661544452/pu/vid/720x720/SqK93yfpD8DHdgEg.mp4?tag=12', bitrate=1280000)], duration=9.009, views=31)]","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",0,0
HypDev,2022-03-18 09:53:05+00:00,1504757775058063387,"We have the perfect job for you 💪

Our team is growing and we're seeking Internal Recruiters. If you enjoy working in a small, collaborative and hands-on team, we want to hear from you.

Apply here: https://t.co/TpGwhN0gEd https://t.co/vc8tb4xw5A",1,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1504757756380733440/pu/img/kwvA0JDtc-IqbwZ5.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1504757756380733440/pu/vid/540x540/PmwyxKGW72MblKNe.mp4?tag=12', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1504757756380733440/pu/vid/320x320/sogZbu8ExVV5oYH7.mp4?tag=12', bitrate=432000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1504757756380733440/pu/vid/720x720/n6KI1hTQ1umFUUvo.mp4?tag=12', bitrate=1280000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1504757756380733440/pu/pl/8QpXpHeB1S_00Rt2.m3u8?tag=12&container=fmp4', bitrate=None)], duration=15.0, views=21)]","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",0,0
HypDev,2022-03-17 19:32:01+00:00,1504541082532696070,"HyperionDev is crowdfunding!
 
We have raised over £2.8mil/R55mil from 700 investors in funding on Crowdcube! You can invest in the future of education from as little as £10/R500 and unlock up to a 55% discount on selected courses.
 
Invest now: https://t.co/WXcANvbB39 https://t.co/5h4qXMFzmI",0,"[Photo(previewUrl='https://pbs.twimg.com/media/FOE0JA4XEAccm7C?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FOE0JA4XEAccm7C?format=jpg&name=large')]","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",0,0
HypDev,2022-03-17 17:29:06+00:00,1504510147401560075,"Not sure if coding is the right choice for you? 👀

Join our Virtual Open Day info sessions to find out about HyperionDev, our coding bootcamps, &amp; get your burning questions answered! We can help you make the right choice 🔥

Register for our events here: https://t.co/54UuT6ZcGu https://t.co/FghEGpqt6l",0,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1504510125092052992/pu/img/Bgp49hw9EHx4T4_q.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1504510125092052992/pu/vid/320x320/B-OoHjJWrD439niD.mp4?tag=12', bitrate=432000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1504510125092052992/pu/vid/540x540/XgI3J90lqod2fQKP.mp4?tag=12', bitrate=832000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1504510125092052992/pu/pl/OGNuHrfMXVfga2LZ.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1504510125092052992/pu/vid/720x720/dVKIrYrqjdMhAdqA.mp4?tag=12', bitrate=1280000)], duration=9.009, views=16)]","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",0,0
