Username,Datetime,Tweet Id,Text,likeCount,Media,Source,ReplyCount,RetweetCount
ZindiAfrica,2022-04-05 14:29:00+00:00,1511350194025213959,"If you need guidance on the challenge, reach out on the Zindi discussion forums, or the challenges official Office Hours! 😁🚀
Office hours👉https://t.co/qOSl5o47P0",1,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,1
ZindiAfrica,2022-04-05 14:28:59+00:00,1511350191256965130,"Only 12 days until the Intro to ASR Africa Challenge closes! Are you on the leaderboard? 👀 You know what to do ✨🌍
Make a submission👉https://t.co/rkaLVV6AbN https://t.co/UEvUwvfLPp",4,"[Photo(previewUrl='https://pbs.twimg.com/media/FPlkrvIXMAcawTE?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FPlkrvIXMAcawTE?format=jpg&name=large')]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1,3
ZindiAfrica,2022-04-05 08:00:01+00:00,1511252302136442883,"What is a Trailblazer? At Zindi, it is not just about being the first. It is about being the second, and third, and fourth. Its about never giving up on opportunity. 🚀🌍
#BeatTheBenchmark 
#BeATrailblazer👉https://t.co/atKCaoBQlS https://t.co/pZnizDt1Wh",4,"[Photo(previewUrl='https://pbs.twimg.com/media/FPgPkEiXsAMwkxv?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FPgPkEiXsAMwkxv?format=jpg&name=large')]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,3
ZindiAfrica,2022-04-04 14:00:01+00:00,1510980513288314895,"The Loan Default Prediction Challenge forms part of the first round of hiring for a three-month paid internship at AfroPavo Analytics, a data science consulting firm in Dar es Salaam, Tanzania. 🤩 Enrol now and you could get hired! 🚀
#BeATrailblazer👉https://t.co/T1Xq7uqpur https://t.co/S39eH250AY",18,"[Photo(previewUrl='https://pbs.twimg.com/media/FPfnzQrWYAEAARJ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FPfnzQrWYAEAARJ?format=jpg&name=large')]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,9
ZindiAfrica,2022-04-01 14:00:02+00:00,1509893355152584712,"""...An exhilarating experience seeing a diverse group of coders &amp; data scientists team up &amp; eager to provide solutions on how to predict &amp; contain landslides while utilising the Zindi platform to compete."" - Darius Moruri, Data Scientist, Zindi at @START_Summit in Switzerland 🚀 https://t.co/zW5k0arOp3",10,"[Photo(previewUrl='https://pbs.twimg.com/media/FPQdJN5XwAAosuW?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FPQdJN5XwAAosuW?format=jpg&name=large')]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,1
ZindiAfrica,2022-03-31 14:00:00+00:00,1509530956318711810,"#UmojaHackAfrica2022 is definitely not over. The excitement still lives in our hearts and minds! 🤩❤What an amazing event this year brought us! Here is a retro on how the weekend went for participants 🚀
Read all about it👉https://t.co/GjQ5pE808p https://t.co/TfQldR4wH5",9,"[Photo(previewUrl='https://pbs.twimg.com/media/FPLdevdXIAATBoo?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FPLdevdXIAATBoo?format=jpg&name=large')]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,3
ZindiAfrica,2022-03-30 14:35:12+00:00,1509177427750236165,"We are so grateful to have had Product Lead at Google Colab, Chris Perry speaking at #UmojaHackAfrica2022! 🤩🚀 If you missed his amazing message to our Zindians, you can watch it here! #KeepLearning #KeepWinning #BuildingAITogether
👉https://t.co/6PitKX1gsP",1,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,1
ZindiAfrica,2022-03-30 14:33:22+00:00,1509176966519287808,✨Opportunity!! Calling all African Start-ups! 🤩🚀 https://t.co/Oid5sVCbfd,6,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,5
ZindiAfrica,2022-03-29 14:00:03+00:00,1508806192298086402,"We are so grateful to have had Azure Open Source Business Lead at @MicrosoftAfrica, Lawrence Muthoga speaking at #UmojaHackAfrica2022! 🤩🚀 If you missed his amazing message to our Zindians, you can watch it here!
#BuildingAITogether👉https://t.co/jho45bXIZ2",6,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,2
ZindiAfrica,2022-03-28 14:00:00+00:00,1508443792969547782,"You may have seen the #Trailblazers Qualification Challenge, &amp; if you haven't, here is your official call to #BeatTheBenchmark! 🤩 Zindi Trailblazers is designed to support upcoming data practitioners as they build their careers! 🚀
#BeATrailblazer👉https://t.co/atKCaokfuk https://t.co/bvgfT5pzRC",7,"[Photo(previewUrl='https://pbs.twimg.com/media/FO787gJXsAs9TY9?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FO787gJXsAs9TY9?format=jpg&name=large')]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,2
