Username,Datetime,Tweet Id,Text,likeCount,Media,Source,ReplyCount,RetweetCount
coursera,2022-03-27 17:24:00+00:00,1508132745435885573,"In @UNTsocial's new course, explore the fundamental concepts of diversity and bias awareness, and strategize ways you can create more intentionally inclusive, equitable, and accessible environments in your community. https://t.co/2as9Qv53Ug",17,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",2,9
coursera,2022-03-26 17:04:00+00:00,1507765324598415370,"We sat down with Dr. Jimeng Sun from the @UofIllinois to discuss the new Deep Learning for Healthcare Specialization on Coursera—the program, the skills you’ll master, and career opportunities in the field. https://t.co/ufnw4wfcMG",10,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",0,2
coursera,2022-03-25 22:44:24+00:00,1507488599117287427,"@Kyle4Fay Hi there, we're sorry to hear this. One of our learner support specialists will be happy to help you over at our Help Center. Please submit a contact request form to connect with us directly: https://t.co/21hyCG5J0o",0,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0
coursera,2022-03-25 22:43:13+00:00,1507488300726206464,"@push105501 @EmsiBG @UofOklahoma Hi there, we hope the Russian government will cease hostilities so that we will be able to reverse our actions and restore access to impacted content. In the interim, there are 2,700 courses and 450 Specializations with Russian subtitles on the Coursera platform.",0,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0
coursera,2022-03-25 22:33:58+00:00,1507485974749757442,@L0uunn Thank you for reaching out. Our learner support team can provide you with more information over at our Help Center. Please report the issue in more detail here: https://t.co/vwDv7K6BTd,0,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",0,0
coursera,2022-03-25 17:08:02+00:00,1507403951725068297,It’s so inspiring when learners apply their skills to make real-world impacts. Dr. Rob Davidson—an emergency medicine physician and @umichsph MPH degree student—is using his knowledge to advocate for better healthcare access. Learn more about this degree: https://t.co/CvR7qn8I8i https://t.co/BugdIe3cuo,9,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2,5
coursera,2022-03-25 16:36:22+00:00,1507395980173455367,@Obel_FB @sauldnn Thanks for reaching out! We’d appreciate it if you can report the issue in more detail here: https://t.co/vwDv7K6BTd We’d be happy to look into it.,0,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0
coursera,2022-03-25 16:36:15+00:00,1507395952604327936,@goswami_shawn @sauldnn Thanks for reaching out! We’d appreciate it if you can report the issue in more detail here: https://t.co/vwDv7K6BTd We’d be happy to look into it.,0,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0
coursera,2022-03-25 16:36:09+00:00,1507395924821172234,@erikkostashuk @sauldnn Thanks for reaching out! We’d appreciate it if you can report the issue in more detail here: https://t.co/vwDv7K6BTd We’d be happy to look into it.,0,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0
coursera,2022-03-25 16:36:02+00:00,1507395896891351077,@blaPHILnks @sauldnn Thanks for reaching out! We’d appreciate it if you can report the issue in more detail here: https://t.co/vwDv7K6BTd We’d be happy to look into it.,0,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0
coursera,2022-03-25 16:35:56+00:00,1507395871276736518,"@sauldnn Hi there, thank you for reaching out. We’d appreciate it if you can report the issue in more detail here: https://t.co/vwDv7K6BTd We’d be happy to look into it.",0,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0
coursera,2022-03-25 16:34:52+00:00,1507395601486520367,"@ludeblue @RoyalHolloway Hi there, thank you for reaching out. We’d appreciate it if you can report the issue in more detail here: https://t.co/vwDv7K6BTd We’d be happy to look into it.",1,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0
coursera,2022-03-25 16:32:52+00:00,1507395098128044052,"@Emin_Crypto @RoyalHolloway Hi there, we're sorry to hear you're having trouble with our ID verification process. Our learner support team will be happy to assist you over at our Help Center. Please submit a contact request form to connect with us directly: https://t.co/21hyCG5J0o",0,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1,0
coursera,2022-03-25 16:31:55+00:00,1507394862173274121,"@vvarl0cks @RoyalHolloway Hi there, thank you for reaching out. We’d appreciate it if you can report the issue in more detail here: https://t.co/vwDv7K6BTd We’d be happy to look into it.",0,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0
coursera,2022-03-25 00:41:57+00:00,1507155792746754050,"With 3M+ cybersecurity jobs open around the world (per ISC), it’s an ideal time to launch your career in this high-growth field. Now, you can earn your MSc Cyber Security degree online, with academic direction from @RoyalHolloway. Learn more: https://t.co/GAwdmnMZD4 https://t.co/y9wCSkPWzy",16,"[Photo(previewUrl='https://pbs.twimg.com/media/FOp-NK0WYAMgVig?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FOp-NK0WYAMgVig?format=jpg&name=large')]","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",6,0
coursera,2022-03-24 19:58:53+00:00,1507084555953573889,@lastbois Thank you for that information. Please check your DM for further assistance.,0,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0
coursera,2022-03-24 19:57:27+00:00,1507084196644335621,"@BrokeCheap Hi there, thanks for reaching out. We’d appreciate it if you can report the issue in more detail here: https://t.co/vwDv7K6BTd We’d be happy to look into it.",0,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0
coursera,2022-03-23 22:04:59+00:00,1506753904998076421,How can orgs upskill and reskill talent to manage change and thrive in the new digital economy? Tune in Friday (3/25) at 1pm ET as Leah Belsky (Coursera Chief Enterprise Officer) and Ardine Williams (@amazon VP Workforce Development) discuss this live: https://t.co/o1ybW1GfLn https://t.co/TqRuIY53IE,18,"[Photo(previewUrl='https://pbs.twimg.com/media/FOkQsP_X0AUy0P5?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FOkQsP_X0AUy0P5?format=jpg&name=large')]","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",0,2
coursera,2022-03-23 21:33:03+00:00,1506745867323252747,New to data analytics and wondering how to build a portfolio to stand out in your job search? Check out this guide: https://t.co/ZK5yeHfefJ https://t.co/kMivnQoEHY,18,"[Photo(previewUrl='https://pbs.twimg.com/media/FOkJX8EXwAU2hCi?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FOkJX8EXwAU2hCi?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FOkJYDWXIAUC3_W?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FOkJYDWXIAUC3_W?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FOkJYLVXIAIsrOG?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FOkJYLVXIAIsrOG?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FOkJYaNXMAYmVQf?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FOkJYaNXMAYmVQf?format=jpg&name=large')]","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",4,3
coursera,2022-03-23 18:10:38+00:00,1506694928126066691,"@Peri_phil @EmsiBG @UofOklahoma Hi there, thank you for reaching out. One of our learner support specialists will be happy to help you over at our Help Center. Please submit a contact request form to connect with us directly: https://t.co/21hyCG5J0o",0,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1,0
