Username,Datetime,Tweet Id,Text,likeCount,Media,Source,ReplyCount,RetweetCount
moringaschool,2022-03-31 07:53:42+00:00,1509438774572466176,"📢 UPDATE📢
Apply for a partial scholarship to study Software Engineering. Classes begin on May 23rd. 

The deadline has been extended to April 14th.

Apply today &gt;&gt; https://t.co/Pb7WWj5aYQ",7,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,2
moringaschool,2022-03-31 06:14:34+00:00,1509413824818036738,"From a Freelance writer to Software Engineer!

Read about Beatrice Mbugua's  journey here&gt;&gt; https://t.co/YwtWnJFte7 

Beatrice is among the beneficiaries of our scholarships. This could be your story, apply for a scholarship and join our Software Engineering program. https://t.co/rkVG6apNuU",41,"[Photo(previewUrl='https://pbs.twimg.com/media/FPKD3EpXIAAMDHG?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FPKD3EpXIAAMDHG?format=jpg&name=large')]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1,7
moringaschool,2022-03-29 07:53:36+00:00,1508713975046983680,"📌Our Full-Stack Software Engineering Curriculum now covers JavaScript, React, SQL, Ruby on Rails, JSON, and Redux Frameworks.

Apply to join the May 23rd intake &gt;&gt; https://t.co/m6kCgvr1YT

#moringaschool",6,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,1
moringaschool,2022-03-29 07:53:36+00:00,1508713972135981058,"#techtips #TechTuesday 

Anyone looking to start a software engineering career MUST learn two things: what does JavaScript do? And how do you use it?

This interesting blog  explains it step by step &gt;&gt; https://t.co/kfzoetaYJo

@FlatironSchool 

#webdevelopment",5,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",3,3
moringaschool,2022-03-28 11:07:27+00:00,1508400371588345860,"Happening this week! Join our friends @ImpactHubAccra as we tackle everything around ""Navigating A Career in Tech"" on Twitter spaces. 

An amazing lineup of speakers awaits. Don't miss out 😎 https://t.co/Nk8Q66TrOn",6,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,4
moringaschool,2022-03-28 06:18:11+00:00,1508327573549314053,"#mondaythoughts 

 ""If I'm afraid of it then I must do it"" - Erica Jong 

What's that ONE THING you are going after unafraid?

#moringaschool #discover #grow #transform",10,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,3
moringaschool,2022-03-25 14:35:23+00:00,1507365534186287118,Glad to be part of the @WTMNairobi  #IWD2022 event happening tomorrow! https://t.co/75JSgXtP7i,8,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,3
moringaschool,2022-03-25 12:09:52+00:00,1507328914800234525,@WTMNairobi @OketchRose @WomenTechmakers @KwambaiMercy @Miss_Gitaka @sandykuria @okacha_daisy @___Leria 👏🏿👏🏿👏🏿👏🏿👏🏿,3,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0
moringaschool,2022-03-25 12:08:41+00:00,1507328615909937170,"📢 OPPORTUNITY ALERT 📢

Are you located in Ghana, Nigeria, or Kenya?

@DigitalAfrica__  is offering fully funded scholarships to study #SoftwareEngineering @moringaschool 

Click to learn more &amp; apply &gt;&gt; https://t.co/p2o6Eu4jLa 

#DigitalAfrica #Talent4StartUps #Skills4Scale https://t.co/Xg7mwqw6fd",32,"[Photo(previewUrl='https://pbs.twimg.com/media/FOsbOPmXIAQpB4_?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FOsbOPmXIAQpB4_?format=jpg&name=large')]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,26
moringaschool,2022-03-24 09:01:31+00:00,1506919125888733184,"If you could work for any #Tech company in the world who would you choose and why?

Let's see if manifestation works in the #tech space😎😎
#moringaschool #techisthefuture",32,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",19,5
