Username,Datetime,Tweet Id,Text,likeCount,Media,Source,ReplyCount,RetweetCount
udacity,2022-03-27 15:02:01+00:00,1508097010343239690,"3 Ways To #Breakthebias In The Workplace:

1. Awareness Makes The Difference
2. Unconscious Bias And The Bottom Line
3. Breaking the Bias for Future Success

Learn more: https://t.co/L9Af8hpxXU",4,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",0,0
udacity,2022-03-26 18:23:01+00:00,1507785208711548931,"Do you want to build #programming and #webdevelopment skills FOR FREE, so you can get a well-paying job? We are partnering with #Citi to provide scholarships at no cost. Apply now: https://t.co/I8LAMHd3gx https://t.co/SxqBNHz0TS",12,"[Photo(previewUrl='https://pbs.twimg.com/media/FOy6p9iXwAIT4o6?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FOy6p9iXwAIT4o6?format=jpg&name=large')]","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",1,6
udacity,2022-03-25 18:43:52+00:00,1507428068301983745,"Investing in a stellar #L&amp;D strategy is a no brainer for any business. Unfortunately, it can be a little intimidating to introduce a whole new program when one doesn’t exist already. Consider the following 5 tips: https://t.co/wUORSo2a3Z",6,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",0,0
udacity,2022-03-25 13:11:04+00:00,1507344315386937346,"@Nirzaree Hi there, we're so sorry for any trouble! Can you please DM us with the email address on your account and the issues you're running into so we can look into? -Britt",0,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",0,0
udacity,2022-03-24 21:44:35+00:00,1507111159090098192,"Do you want to build #programming and #webdevelopment skills FOR FREE, so you can get a well-paying job? We are partnering with @Citi to provide scholarships at no cost. Apply now: https://t.co/I8LAMHd3gx https://t.co/DCh41iVtPT",7,"[Photo(previewUrl='https://pbs.twimg.com/media/FOpVnF3XoAk8KAb?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FOpVnF3XoAk8KAb?format=jpg&name=large')]","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",0,0
udacity,2022-03-23 17:12:16+00:00,1506680237823860743,"80% of enterprise companies think their L&amp;D programs are successful, while only 55% of employees agree. Evaluate the efficacy of your L&amp;D programs by asking employees these 5 questions: https://t.co/GfN4uCY9OE",7,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",0,0
udacity,2022-03-23 00:29:26+00:00,1506427867349110787,"“We're preparing our young population to compete in the global market. This program will ensure that graduates improve their livelihoods and, in turn, benefit the economy and transform Egypt into a tech hub.”
- Egypt's Minister of Comms and IT

https://t.co/GRVlAUNuxS https://t.co/6x18upawIu",10,"[Photo(previewUrl='https://pbs.twimg.com/media/FOfoKVbXEAU-tO-?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FOfoKVbXEAU-tO-?format=jpg&name=large')]","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",0,0
udacity,2022-03-23 00:24:00+00:00,1506426501578776576,The time for transformation is now. The digital era keeps accelerating. Cultivating digital talent within national borders is a surefire strategy for economic advancement. Learn more: https://t.co/GRVlAUNuxS https://t.co/xZEp5bphaz,4,"[Photo(previewUrl='https://pbs.twimg.com/media/FOfm60SXIAAJUH3?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FOfm60SXIAAJUH3?format=jpg&name=large')]","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",0,0
udacity,2022-03-22 19:22:12+00:00,1506350548508987392,"Do you want to build #programming and #webdevelopment skills FOR FREE, so you can get a well-paying job? We are partnering with @Citi to provide scholarships at no cost. Apply now: https://t.co/I8LAMHd3gx https://t.co/NZx6V1bsAM",10,"[Photo(previewUrl='https://pbs.twimg.com/media/FOeh1y_WQAcyva4?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FOeh1y_WQAcyva4?format=jpg&name=large')]","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",0,2
udacity,2022-03-22 17:47:27+00:00,1506326704322748423,"We're teaming up with @ALXT_Program to offer 20,000 fully-funded scholarships in Cloud, Data, and Programming to African learners to gain the in-demand skills needed to enter tech careers and become eligible for local and global job placements. Learn More: https://t.co/dCsf87iNtR https://t.co/FlE6lOzCyY",17,"[Photo(previewUrl='https://pbs.twimg.com/media/FOeMJ1fXsAEXdMz?format=png&name=small', fullUrl='https://pbs.twimg.com/media/FOeMJ1fXsAEXdMz?format=png&name=large')]","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",1,8
