Username,Datetime,Tweet Id,Text,likeCount,Media,Source,ReplyCount,RetweetCount
wethinkcode,2022-03-25 12:16:55+00:00,1507330688416108546,@zarricah No. Some people aren't able to travel to attend bootcamp on campus for 6 days so we make the virtual option available. However the programme is on campus.,1,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1,0
wethinkcode,2022-03-25 07:00:04+00:00,1507250950586650656,"@zarricah Hi, that's correct, the virtual bootcamp is facilitated online. Yes, it is possible.",0,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1,0
wethinkcode,2022-03-23 08:40:14+00:00,1506551382278651915,"""I chose to study at #WeThinkCode because it is an institution that is innovative about the way that it trains people, even the way it sources students &amp; creates opportunities for youth.""

Ready to #RecodeTheWayYouThink about your junior tech talent pipeline? #HireTheFuture (2/2) https://t.co/zD4v7iLp3J",4,"[Photo(previewUrl='https://pbs.twimg.com/media/FOhYWtoWYAAFhhD?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FOhYWtoWYAAFhhD?format=jpg&name=large')]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0
wethinkcode,2022-03-23 08:40:12+00:00,1506551374775033856,"Meet Yonwabisa Zwane, current 2nd year student &amp; future tech industry game changer from Standerton, Mpumalanga.

Yonwabisa joined WeThinkCode because he was excited about the opportunities it presented, like the freedom to go off into any direction within the tech sector. (1/2) https://t.co/ssWXPvhyBN",17,"[Photo(previewUrl='https://pbs.twimg.com/media/FOhX9cpWYAIBne3?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FOhX9cpWYAIBne3?format=jpg&name=large')]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1,3
wethinkcode,2022-03-22 07:31:30+00:00,1506171698680418306,"Hey #tech lovers! We want to hear from you. What content (podcasts, vlogs, blogs etc.) are you consuming regularly to keep up to date with the tech industry? Share your suggestions with us and the rest of the community. #TechTuesday #WeThinkCode https://t.co/qao567isDK",28,"[Photo(previewUrl='https://pbs.twimg.com/media/FObvGzWWYAEm7L9?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FObvGzWWYAEm7L9?format=jpg&name=large')]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",4,6
wethinkcode,2022-03-18 16:05:50+00:00,1504851580176240655,"@SamkeloManyathi Hi Samkelo, applications are done online. However, applications for 2022 are closed. We will announce when we start recruiting for 2023.",0,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1,0
wethinkcode,2022-03-17 12:22:48+00:00,1504433067280277506,"Engineering Managers: ""I build things that make other grown-ups do their jobs better."" (5/5) https://t.co/eoZVvz6Q5M",3,"[Gif(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/FODR5dNWYAIwFmt.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/tweet_video/FODR5dNWYAIwFmt.mp4', bitrate=0)])]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0
wethinkcode,2022-03-17 12:22:45+00:00,1504433054332461059,"Data Engineers &amp; Scientists: ""I am like a librarian that stores many many books neatly on big computers."" (4/5) https://t.co/5d9jW2sUNW",1,"[Gif(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/FODR4nCX0AgiFCH.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/tweet_video/FODR4nCX0AgiFCH.mp4', bitrate=0)])]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1,0
wethinkcode,2022-03-17 12:22:42+00:00,1504433039748829193,"Full Stack Devs: ""I help computers think."" (3/5) https://t.co/QziiQ2pE4X",0,"[Gif(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/FODR3w5XoAUWhOR.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/tweet_video/FODR3w5XoAUWhOR.mp4', bitrate=0)])]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1,0
wethinkcode,2022-03-17 12:22:37+00:00,1504433017435078658,"Front-end Devs: ""I make the internet look pretty."" (2/5) https://t.co/SJ2sRQhM5S",0,"[Gif(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/FODR1uRXsAMpS4X.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/tweet_video/FODR1uRXsAMpS4X.mp4', bitrate=0)])]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1,0
