,Title,Published_date,Views,Likes,Dislikes,Comments,post_type,Month,date,day_name
0,High-Performing Data Scientist: leveraging the non-technical skills,2022-04-28T08:02:17Z,249,21,21,3,youtube#video,Apr,2022-04-28 08:02:17+00:00,Thursday
1,Building Responsible AI: best practices across the product development lifecycle,2022-04-27T07:52:20Z,171,6,6,1,youtube#video,Apr,2022-04-27 07:52:20+00:00,Wednesday
2,The Behavioral Edge: level up your data skills with behavioral science,2022-04-21T07:01:10Z,326,14,14,0,youtube#video,Apr,2022-04-21 07:01:10+00:00,Thursday
3,Introduction to Segments | Marketing Analytics for Beginners | Part-19,2022-04-14T21:39:32Z,402,10,10,0,youtube#video,Apr,2022-04-14 21:39:32+00:00,Thursday
4,Job Hunting for Data Analysts,2022-04-14T08:06:09Z,817,27,27,2,youtube#video,Apr,2022-04-14 08:06:09+00:00,Thursday
5,Crash Course In Modern Data Warehousing Using Snowflake Platform,2022-04-13T05:21:23Z,387,16,16,0,youtube#video,Apr,2022-04-13 05:21:23+00:00,Wednesday
6,Introduction to Referrers | Marketing Analytics for Beginners | Part-18,2022-04-08T18:06:29Z,206,6,6,0,youtube#video,Apr,2022-04-08 18:06:29+00:00,Friday
7,MLOps Crash Course for Beginners,2022-04-07T05:19:44Z,1179,50,50,0,youtube#video,Apr,2022-04-07 05:19:44+00:00,Thursday
8,Finding the Tallest Tree: comparing tree-based models,2022-04-06T08:25:57Z,418,13,13,0,youtube#video,Apr,2022-04-06 08:25:57+00:00,Wednesday
9,Introduction to Sales Funnel | Marketing Analytics for Beginners | Part-17,2022-03-31T20:56:41Z,340,14,14,0,youtube#video,Mar,2022-03-31 20:56:41+00:00,Thursday
10,Translating Data into Effective Decisions,2022-03-31T08:01:01Z,538,24,24,0,youtube#video,Mar,2022-03-31 08:01:01+00:00,Thursday
11,Ace the Data Science Interview with Nick Singh,2022-03-30T08:17:28Z,546,28,28,0,youtube#video,Mar,2022-03-30 08:17:28+00:00,Wednesday
12,Introduction to Sources | Marketing Analytics for Beginners | Part-16,2022-03-25T18:12:21Z,230,4,4,0,youtube#video,Mar,2022-03-25 18:12:21+00:00,Friday
13,AI & ML Workflows with Kubernetes,2022-03-24T06:07:27Z,567,31,31,0,youtube#video,Mar,2022-03-24 06:07:27+00:00,Thursday
14,Redis Crash Course for Artificial Intelligence & Machine Learning,2022-03-23T08:10:11Z,550,25,25,1,youtube#video,Mar,2022-03-23 08:10:11+00:00,Wednesday
15,Introduction to Call to Action | Marketing Analytics for Beginners | Part-15,2022-03-17T18:23:01Z,218,6,6,0,youtube#video,Mar,2022-03-17 18:23:01+00:00,Thursday
16,Web Scraping with Python and BeautifulSoup,2022-03-17T08:21:54Z,2020,81,81,5,youtube#video,Mar,2022-03-17 08:21:54+00:00,Thursday
17,Introduction to Lead Scoring | Marketing Analytics for Beginners | Part-14,2022-03-10T22:10:40Z,447,15,15,1,youtube#video,Mar,2022-03-10 22:10:40+00:00,Thursday
18,Python Crash Course for Excel Users,2022-03-10T09:15:38Z,1446,53,53,1,youtube#video,Mar,2022-03-10 09:15:38+00:00,Thursday
19,Introduction to Direct Traffic | Marketing Analytics for Beginners | Part-13,2022-03-03T19:53:57Z,295,8,8,0,youtube#video,Mar,2022-03-03 19:53:57+00:00,Thursday
