,Title,Published_date,Views,Likes,Dislikes,Comments,post_type,Month,date,day_name
0,How Age Impacts Your Muscles | SCHE,2022-04-28T19:19:24Z,8,0,0,0,youtube#video,Apr,2022-04-28 19:19:24+00:00,Thursday
1,LSE Data Science: Text Analysis Using R Online Certificate Course | Trailer,2022-04-25T13:18:25Z,241,2,2,0,youtube#video,Apr,2022-04-25 13:18:25+00:00,Monday
2,"International Relations: China, Russia, the US and the Future of Geopolitics Online Course | Trailer",2022-04-22T09:19:49Z,1028,14,14,1,youtube#video,Apr,2022-04-22 09:19:49+00:00,Friday
3,What’s the Difference Between Valid and Reliable Data? | LSE,2022-04-21T12:59:28Z,125,2,2,0,youtube#video,Apr,2022-04-21 12:59:28+00:00,Thursday
4,How Carbohydrates Move Through Your Body | SCHE,2022-04-19T13:07:08Z,43,1,1,0,youtube#video,Apr,2022-04-19 13:07:08+00:00,Tuesday
5,Northwestern University Digital Marketing and Media Strategy Online Short Course | Trailer,2022-04-18T07:55:18Z,131,1,1,0,youtube#video,Apr,2022-04-18 07:55:18+00:00,Monday
6,How a Country’s Culture Drives Development | LSE,2022-04-14T12:47:29Z,92,4,4,0,youtube#video,Apr,2022-04-14 12:47:29+00:00,Thursday
7,The Role Dopamine Plays in Pain and Pleasure | SCHE,2022-04-13T14:46:37Z,52,4,4,0,youtube#video,Apr,2022-04-13 14:46:37+00:00,Wednesday
8,What Role Do Autocratic States Play in Development? | LSE,2022-04-12T12:09:15Z,47,0,0,0,youtube#video,Apr,2022-04-12 12:09:15+00:00,Tuesday
9,LSE Public Policy Innovations Online Certificate Course | Trailer,2022-04-11T13:32:56Z,401,3,3,1,youtube#video,Apr,2022-04-11 13:32:56+00:00,Monday
10,Northwestern The Science of Social and Emotional Learning Online Short Course | Trailer,2022-04-08T13:47:09Z,178,3,3,0,youtube#video,Apr,2022-04-08 13:47:09+00:00,Friday
11,Dealing With Burnout as a Leader | Stanford Center for Health Education,2022-04-07T21:20:14Z,61,2,2,0,youtube#video,Apr,2022-04-07 21:20:14+00:00,Thursday
12,Social Media and Its Relation to Social Tensions | LSE,2022-04-05T13:57:08Z,53,1,1,0,youtube#video,Apr,2022-04-05 13:57:08+00:00,Tuesday
13,Economist Education Professional Communication Online Short Course | Trailer,2022-04-04T13:59:31Z,1493,4,4,0,youtube#video,Apr,2022-04-04 13:59:31+00:00,Monday
14,The Future of Law in a Digital World | Northwestern Law,2022-03-31T13:42:43Z,42,0,0,0,youtube#video,Mar,2022-03-31 13:42:43+00:00,Thursday
15,How Policymakers Formulate Decisions | LSE,2022-03-29T13:48:09Z,73,3,3,0,youtube#video,Mar,2022-03-29 13:48:09+00:00,Tuesday
