,Title,Published_date,Views,Likes,Dislikes,Comments,post_type,Month,date,day_name
0,"HDN: Fundamentals of Data Structures, Trees",2022-04-05T14:12:27Z,42,1,1,0,youtube#video,Apr,2022-04-05 14:12:27+00:00,Tuesday
1,"HDN: Fundamentals of Data Structures, Linear Data Structures",2022-04-05T12:30:33Z,40,2,2,0,youtube#video,Apr,2022-04-05 12:30:33+00:00,Tuesday
2,The University of Edinburgh online coding bootcamps in partnership with HyperionDev,2022-03-02T08:03:57Z,1239,9,9,0,youtube#video,Mar,2022-03-02 08:03:57+00:00,Wednesday
3,HyperionDev Coding Bootcamps 2022,2022-02-28T08:11:47Z,199,10,10,2,youtube#video,Feb,2022-02-28 08:11:47+00:00,Monday
4,HyperionDev - Africa's leading coding education institution #CodeDidThis [EXTENDED],2021-11-05T14:19:10Z,290,17,17,0,youtube#video,Nov,2021-11-05 14:19:10+00:00,Friday
5,HyperionDev - Africa's leading human-led coding education solution #CodeDidThis,2021-10-13T08:26:45Z,857804,29,29,0,youtube#video,Oct,2021-10-13 08:26:45+00:00,Wednesday
6,Own a piece of HyperionDev's future | 2021 Crowdfund,2021-02-17T11:55:33Z,997,30,30,2,youtube#video,Feb,2021-02-17 11:55:33+00:00,Wednesday
7,Arlene Mulder | HyperionDev Futurist Series Interview | Episode 7,2021-01-14T15:03:07Z,380,11,11,0,youtube#video,Jan,2021-01-14 15:03:07+00:00,Thursday
8,Adam Duxbury | HyperionDev Futurist Series Interview | Episode 6,2020-11-25T12:59:42Z,206,5,5,0,youtube#video,Nov,2020-11-25 12:59:42+00:00,Wednesday
9,Simon Dingle | HyperionDev Futurist Series Interview | Episode 5,2020-11-25T11:46:24Z,184,3,3,1,youtube#video,Nov,2020-11-25 11:46:24+00:00,Wednesday
10,DJ Black Coffee talks about new partnership with HyperionDev,2020-11-24T12:22:59Z,1365,32,32,1,youtube#video,Nov,2020-11-24 12:22:59+00:00,Tuesday
11,Doug Hoernle | HyperionDev Futurist Series Interview | Episode 4,2020-11-04T12:23:36Z,126,3,3,1,youtube#video,Nov,2020-11-04 12:23:36+00:00,Wednesday
12,Kerushan Govender | HyperionDev Futurist Series Interview | Episode 3,2020-11-02T12:15:11Z,133,5,5,0,youtube#video,Nov,2020-11-02 12:15:11+00:00,Monday
13,"Behind everything we do, is a developer | HyperionDev coding bootcamps",2020-10-30T08:14:59Z,20776,11,11,0,youtube#video,Oct,2020-10-30 08:14:59+00:00,Friday
