,Title,Published_date,Views,Likes,Dislikes,Comments,post_type,Month,date,day_name
0,Is Moringa the best for me? Here is Why You Should Join,2022-04-13T09:24:51Z,283,9,9,2,youtube#video,Apr,2022-04-13 09:24:51+00:00,Wednesday
1,Moringa School at the Africa Tech Summit 2022,2022-02-24T07:30:25Z,480,23,23,1,youtube#video,Feb,2022-02-24 07:30:25+00:00,Thursday
2,"Moringa School Partners With Leading Global Bootcamp, Flatiron School",2022-02-23T07:04:33Z,471,14,14,3,youtube#video,Feb,2022-02-23 07:04:33+00:00,Wednesday
3,A New Moringa,2022-02-04T12:55:31Z,480,13,13,2,youtube#video,Feb,2022-02-04 12:55:31+00:00,Friday
4,Moringa School Access Program,2022-02-02T13:13:11Z,1181,53,53,8,youtube#video,Feb,2022-02-02 13:13:11+00:00,Wednesday
5,Ready for a New Experience?,2022-01-28T11:00:22Z,170,12,12,1,youtube#video,Jan,2022-01-28 11:00:22+00:00,Friday
6,NCC Education Level 3 Diploma in Computing Moringa School Open Day,2022-01-11T12:33:45Z,259,11,11,1,youtube#video,Jan,2022-01-11 12:33:45+00:00,Tuesday
7,Navigating Life After University Webinar - Recording,2021-11-17T10:25:32Z,719,25,25,3,youtube#video,Nov,2021-11-17 10:25:32+00:00,Wednesday
8,Francis Kamau - Online Learning Experience,2021-06-30T14:50:09Z,716,20,20,3,youtube#video,Jun,2021-06-30 14:50:09+00:00,Wednesday
9,Mark Mukenia -Online Learning Experience,2021-06-30T12:57:19Z,481,10,10,1,youtube#video,Jun,2021-06-30 12:57:19+00:00,Wednesday
10,Mark Abenga- Online Learning Experience,2021-06-30T12:41:48Z,285,9,9,0,youtube#video,Jun,2021-06-30 12:41:48+00:00,Wednesday
11,Joy Kiriba - Learning Data Science Online,2021-06-30T12:28:03Z,771,25,25,3,youtube#video,Jun,2021-06-30 12:28:03+00:00,Wednesday
12,Ian Mutai- Learning Data Science Remotely,2021-06-30T12:02:57Z,1174,24,24,2,youtube#video,Jun,2021-06-30 12:02:57+00:00,Wednesday
13,Quienzy Ong'eye- Remote Learning Experience,2021-06-30T11:52:38Z,352,14,14,1,youtube#video,Jun,2021-06-30 11:52:38+00:00,Wednesday
14,Odero Olouch - Remote Learning Experience,2021-06-30T11:38:02Z,413,12,12,1,youtube#video,Jun,2021-06-30 11:38:02+00:00,Wednesday
15,Brian Karu- Moringa School Remote Learning Experience,2021-06-30T10:07:30Z,605,27,27,6,youtube#video,Jun,2021-06-30 10:07:30+00:00,Wednesday
16,Moringa School Remote Learning Student Experience,2021-06-30T09:48:44Z,689,11,11,2,youtube#video,Jun,2021-06-30 09:48:44+00:00,Wednesday
17,Moringa School- Preparing you for the job market,2021-06-17T12:42:50Z,170639,11,11,0,youtube#video,Jun,2021-06-17 12:42:50+00:00,Thursday
18,Joshua Kothe - Software Developer & Moringa School Alumni,2021-06-16T06:23:25Z,822,20,20,0,youtube#video,Jun,2021-06-16 06:23:25+00:00,Wednesday
19,Student review: How is the experience learning Software Development at Moringa School?,2021-05-26T12:23:56Z,1131,16,16,2,youtube#video,May,2021-05-26 12:23:56+00:00,Wednesday
20,Join Moringa School | Courses are now online,2021-04-20T08:22:42Z,1309,29,29,2,youtube#video,Apr,2021-04-20 08:22:42+00:00,Tuesday
21,My Online Learning Experience - Maureen Chepkirui,2021-03-17T10:12:50Z,990,26,26,8,youtube#video,Mar,2021-03-17 10:12:50+00:00,Wednesday
22,Webinar Recap: Getting started with Data Science - 30/04/2020,2020-10-01T08:35:47Z,671,11,11,2,youtube#video,Oct,2020-10-01 08:35:47+00:00,Thursday
23,Webinar: Cyber Security Threats Management for Software Developers,2020-08-20T17:47:44Z,399,14,14,0,youtube#video,Aug,2020-08-20 17:47:44+00:00,Thursday
24,Congratulations Monica for Learning With Us Online & Graduating! 🎉🎓,2020-08-17T11:56:02Z,1699,32,32,0,youtube#video,Aug,2020-08-17 11:56:02+00:00,Monday
25,Sharon Maswai's Online & In-Person Learning Experience at Moringa School,2020-08-17T11:50:14Z,550,17,17,2,youtube#video,Aug,2020-08-17 11:50:14+00:00,Monday
26,My In-Person and Online Learning Experience - Ann Macharia,2020-08-17T09:02:18Z,398,15,15,0,youtube#video,Aug,2020-08-17 09:02:18+00:00,Monday
27,Francoise Unanase's experience in Moringa School Rwanda!,2020-08-17T08:57:54Z,238,3,3,0,youtube#video,Aug,2020-08-17 08:57:54+00:00,Monday
28,Why Are Soft Skills Important in Career Development?,2020-07-01T08:01:08Z,595,24,24,2,youtube#video,Jul,2020-07-01 08:01:08+00:00,Wednesday
29,Meet Warukira The Technologist!,2020-06-18T11:00:18Z,1107,31,31,1,youtube#video,Jun,2020-06-18 11:00:18+00:00,Thursday
30,Data Science in 3 minutes!,2020-05-29T06:45:29Z,1574,23,23,1,youtube#video,May,2020-05-29 06:45:29+00:00,Friday
31,Becoming A Data Scientist!,2020-05-13T12:48:08Z,1957,38,38,7,youtube#video,May,2020-05-13 12:48:08+00:00,Wednesday
32,Making a simple password locker with Python!,2020-05-08T07:33:28Z,7551,98,98,7,youtube#video,May,2020-05-08 07:33:28+00:00,Friday
33,Message To The Moringa School Community,2020-04-02T12:03:37Z,577,27,27,0,youtube#video,Apr,2020-04-02 12:03:37+00:00,Thursday
34,Moringa School Alumni- Rose Oketch,2020-01-10T07:27:23Z,1343,31,31,0,youtube#video,Jan,2020-01-10 07:27:23+00:00,Friday
35,Sam Ngigi - Moringa School Alumni,2020-01-06T08:07:35Z,1795,52,52,0,youtube#video,Jan,2020-01-06 08:07:35+00:00,Monday
36,Moringa School Alumni Anniversary,2020-01-03T09:22:36Z,1598,32,32,0,youtube#video,Jan,2020-01-03 09:22:36+00:00,Friday
37,Moringa School Alumni Video- James Muriuki,2019-12-19T07:44:51Z,678,12,12,0,youtube#video,Dec,2019-12-19 07:44:51+00:00,Thursday
38,Brian Lusina: Senior Software Engineer at I&M Bank Ltd,2019-10-15T13:35:28Z,2405,46,46,3,youtube#video,Oct,2019-10-15 13:35:28+00:00,Tuesday
39,Tech Educators Conference 2019,2019-10-09T12:30:22Z,887,23,23,1,youtube#video,Oct,2019-10-09 12:30:22+00:00,Wednesday
40,Moringa School AT NAICCON,2019-09-18T09:24:38Z,995,30,30,0,youtube#video,Sep,2019-09-18 09:24:38+00:00,Wednesday
41,Data Science Influencers Meetup,2019-09-18T08:01:12Z,2219,27,27,3,youtube#video,Sep,2019-09-18 08:01:12+00:00,Wednesday
42,Moringa School Data Science,2019-08-20T07:08:10Z,3682,19,19,1,youtube#video,Aug,2019-08-20 07:08:10+00:00,Tuesday
43,Student Demos for Moringa School Career Day at Nairobi Tech Week 2019,2019-07-16T08:20:17Z,3622,81,81,8,youtube#video,Jul,2019-07-16 08:20:17+00:00,Tuesday
44,Moringa School - Software Development Prep & Core Program,2019-03-05T15:13:50Z,3078,29,29,1,youtube#video,Mar,2019-03-05 15:13:50+00:00,Tuesday
45,Moringa School Alumni Engagement Program Launch,2019-02-21T12:35:23Z,3618,65,65,5,youtube#video,Feb,2019-02-21 12:35:23+00:00,Thursday
46,Find Out What Happens During Moringa School Open Days,2019-02-21T09:13:44Z,8439,148,148,11,youtube#video,Feb,2019-02-21 09:13:44+00:00,Thursday
47,How To Book An Interview After Applying To Join Moringa School,2019-01-24T08:58:10Z,749,9,9,0,youtube#video,Jan,2019-01-24 08:58:10+00:00,Thursday
48,Accelerated Coding Bootcamp and LakeHub Kisumu,2019-01-14T09:00:27Z,846,11,11,1,youtube#video,Jan,2019-01-14 09:00:27+00:00,Monday
49,A JavaScript Workshop at Moringa School (November 3rd 2018),2018-11-23T07:57:51Z,3052,51,51,4,youtube#video,Nov,2018-11-23 07:57:51+00:00,Friday
50,Yommie Samora - Technical Mentor at Moringa School,2018-11-19T05:00:31Z,856,20,20,0,youtube#video,Nov,2018-11-19 05:00:31+00:00,Monday
51,Leo Igane - Technical Mentor at Moringa School,2018-11-19T04:10:15Z,2386,57,57,3,youtube#video,Nov,2018-11-19 04:10:15+00:00,Monday
52,Andrew Anampiu - Lead Technical Mentor at Moringa School,2018-11-19T03:51:16Z,1378,30,30,0,youtube#video,Nov,2018-11-19 03:51:16+00:00,Monday
53,Nombu Murage - Software Engineer & Moringa School Alumni,2018-10-23T11:31:59Z,4152,57,57,1,youtube#video,Oct,2018-10-23 11:31:59+00:00,Tuesday
54,Latasha Ndirangu - Software Developer & Moringa School Alumni,2018-10-19T12:41:44Z,1455,23,23,0,youtube#video,Oct,2018-10-19 12:41:44+00:00,Friday
55,Paul Lucas - Entrepreneur & Moringa School Alumni,2018-10-17T09:03:31Z,3858,45,45,1,youtube#video,Oct,2018-10-17 09:03:31+00:00,Wednesday
56,Mariam Omar On 2018 EOS Virtual Hackathon Training At Moringa School,2018-10-17T09:01:48Z,773,16,16,0,youtube#video,Oct,2018-10-17 09:01:48+00:00,Wednesday
57,Mariam Omar - Full-stack Web Developer & Moringa School Alumni,2018-10-17T08:53:13Z,5588,69,69,11,youtube#video,Oct,2018-10-17 08:53:13+00:00,Wednesday
58,Jessy Musau on 2018 EOS Virtual Hackathon Training at Moringa School,2018-10-17T07:27:19Z,407,4,4,0,youtube#video,Oct,2018-10-17 07:27:19+00:00,Wednesday
59,Michell Ochieng On 2018 EOS Virtual Hackathon Training at Moringa School,2018-10-17T07:26:46Z,310,6,6,0,youtube#video,Oct,2018-10-17 07:26:46+00:00,Wednesday
60,Kevin Maina - Software Developer & Moringa School Alumni,2018-10-17T04:17:17Z,6865,35,35,0,youtube#video,Oct,2018-10-17 04:17:17+00:00,Wednesday
61,Sam Ngigi - Technical Mentor & Moringa School Alumni,2018-10-17T03:51:51Z,1077,13,13,0,youtube#video,Oct,2018-10-17 03:51:51+00:00,Wednesday
62,Moringa School CEO at HomeBoyz Radio Kenya,2017-08-18T11:42:56Z,1255,25,25,0,youtube#video,Aug,2017-08-18 11:42:56+00:00,Friday
63,Nairobi Tech Week 2017 - It was amazing,2017-06-20T05:19:21Z,2510,47,47,1,youtube#video,Jun,2017-06-20 05:19:21+00:00,Tuesday
64,#MoringaDiaries: Technology Trends in the Geospatial Industry,2017-01-27T13:48:11Z,791,11,11,0,youtube#video,Jan,2017-01-27 13:48:11+00:00,Friday
65,"Moringa Student Diaries: Latasha, John and Ruth",2017-01-16T12:46:46Z,1266,31,31,2,youtube#video,Jan,2017-01-16 12:46:46+00:00,Monday
