,Title,Published_date,Views,Likes,Dislikes,Comments,post_type,Month,date,day_name
0,NYCDSA Data Science Open House,2022-04-28T07:07:05Z,21,1,1,0,youtube#video,Apr,2022-04-28 07:07:05+00:00,Thursday
1,NYC Data Science Academy's Personal Meeting Room,2022-04-23T03:17:08Z,28,0,0,0,youtube#video,Apr,2022-04-23 03:17:08+00:00,Saturday
2,NYC Data Science Academy's Personal Meeting Room,2022-04-21T03:14:37Z,37,1,1,1,youtube#video,Apr,2022-04-21 03:14:37+00:00,Thursday
3,Beginner's Guide to Data Science,2022-04-20T16:11:28Z,20,3,3,0,youtube#video,Apr,2022-04-20 16:11:28+00:00,Wednesday
4,A/B Testing for Data Science (with Python & R),2022-04-15T17:00:41Z,104,3,3,0,youtube#video,Apr,2022-04-15 17:00:41+00:00,Friday
5,NYC Data Science Academy's Personal Meeting Room,2022-04-09T07:05:02Z,41,2,2,0,youtube#video,Apr,2022-04-09 07:05:02+00:00,Saturday
6,NYC Data Science Academy's Personal Meeting Room,2022-04-09T04:01:21Z,16,0,0,0,youtube#video,Apr,2022-04-09 04:01:21+00:00,Saturday
7,NYC Data Science Academy's Personal Meeting Room,2022-04-02T04:08:30Z,41,2,2,1,youtube#video,Apr,2022-04-02 04:08:30+00:00,Saturday
8,NYC Data Science Academy's Personal Meeting Room,2022-03-30T13:21:46Z,43,0,0,0,youtube#video,Mar,2022-03-30 13:21:46+00:00,Wednesday
9,NYC Data Science Academy's Personal Meeting Room,2022-03-26T13:23:35Z,49,0,0,0,youtube#video,Mar,2022-03-26 13:23:35+00:00,Saturday
10,Career Service Support,2022-03-24T09:06:11Z,35,1,1,0,youtube#video,Mar,2022-03-24 09:06:11+00:00,Thursday
11,NYC Data Science Academy's Personal Meeting Room,2022-03-16T03:40:04Z,39,1,1,0,youtube#video,Mar,2022-03-16 03:40:04+00:00,Wednesday
12,NYC Data Science Academy's Personal Meeting Room,2022-03-12T05:10:35Z,59,1,1,0,youtube#video,Mar,2022-03-12 05:10:35+00:00,Saturday
13,Data Analysis with Pandas,2022-03-10T12:15:06Z,72,5,5,0,youtube#video,Mar,2022-03-10 12:15:06+00:00,Thursday
14,"NYCDSA, We want to see you succeed",2022-03-09T20:03:35Z,3834,2,2,0,youtube#video,Mar,2022-03-09 20:03:35+00:00,Wednesday
15,NYC Data Science Academy's Personal Meeting Room,2022-03-05T08:10:27Z,65,3,3,0,youtube#video,Mar,2022-03-05 08:10:27+00:00,Saturday
16,NYC Data Science Academy's Personal Meeting Room,2022-03-02T05:21:13Z,55,0,0,0,youtube#video,Mar,2022-03-02 05:21:13+00:00,Wednesday
