,Title,Published_date,Views,Likes,Dislikes,Comments,post_type,Month,date,day_name
0,🔥Free Introduction To Android Studio Course | Android Studio Free Course | Skillup | Simplilearn,2022-04-28T16:00:35Z,674,22,22,1,youtube#video,Apr,2022-04-28 16:00:35+00:00,Thursday
1,Cyber Security Questions & Answers - Interactive Quiz | Cyber Security Training | 2022 | Simplilearn,2022-04-28T13:42:07Z,2713,106,106,1,youtube#video,Apr,2022-04-28 13:42:07+00:00,Thursday
2,Top 10 Blockchain Projects In 2022 | Best Blockchain Projects | #Shorts | Simplilearn,2022-04-28T13:30:05Z,441,32,32,0,youtube#video,Apr,2022-04-28 13:30:05+00:00,Thursday
3,Best Google Chrome Extensions For Web Developers | Chrome Extensions | #Shorts | Simplilearn,2022-04-28T13:10:13Z,423,28,28,0,youtube#video,Apr,2022-04-28 13:10:13+00:00,Thursday
4,Data Analysis Projects Python 2022 | 3 Amazing Python Projects To Add In Your Resume | Simplilearn,2022-04-28T07:15:50Z,3313,154,154,1,youtube#video,Apr,2022-04-28 07:15:50+00:00,Thursday
5,Types Of Statistical Methods Explained | Statistical Methods | Statistics Tutorial | Simplilearn,2022-04-27T15:06:17Z,2173,48,48,1,youtube#video,Apr,2022-04-27 15:06:17+00:00,Wednesday
6,Elon Musk Buys Twitter | Elon Musk Takes 9.2 Percent Stake In Twitter | #Shorts | Simplilearn,2022-04-27T13:00:32Z,1296,57,57,1,youtube#video,Apr,2022-04-27 13:00:32+00:00,Wednesday
7,Google Launches Media CDN To Compete In Area Of Content Delivery | #Shorts | Simplilearn,2022-04-27T12:30:56Z,805,31,31,1,youtube#video,Apr,2022-04-27 12:30:56+00:00,Wednesday
8,Top 10 Free SEO Tools For 2022 | Best Free SEO Tools | SEO Tools For Ranking Website | Simplilearn,2022-04-27T10:36:47Z,2244,48,48,1,youtube#video,Apr,2022-04-27 10:36:47+00:00,Wednesday
9,Simplilearn Job Guarantee Programs - Your Job Is Surely Guaranteed! 😎 | #Shorts | Simplilearn,2022-04-27T05:53:41Z,1166,33,33,1,youtube#video,Apr,2022-04-27 05:53:41+00:00,Wednesday
10,Handwashing Case Study : Python Data Analysis 2022 | Data Analysis Project | Python | Simplilearn,2022-04-26T15:30:01Z,4445,108,108,1,youtube#video,Apr,2022-04-26 15:30:01+00:00,Tuesday
11,Java Vs Scala : Differences Explained | Scala And Java Differences | #Shorts | Simplilearn,2022-04-26T14:45:01Z,817,38,38,1,youtube#video,Apr,2022-04-26 14:45:01+00:00,Tuesday
12,Top 5 Data Science Trends 2022 | Data Science Latest Trends | Data Science | #Shorts | Simplilearn,2022-04-26T14:22:53Z,946,44,44,1,youtube#video,Apr,2022-04-26 14:22:53+00:00,Tuesday
