id,message,created_time,updated_time,Total_comments,Total_reactions,Total_like,Total_love,Total_haha,Total_wow,Total_sad,Total_angry,Total_likes
2,We want to enhance our service! Write a review to let us know how we can improve.,3/16/2022 9:06,3/16/2022 9:06,0,3,3,0,0,0,0,0,3
3,"Python Novice to Pythonista🤓🐍  Course Overview: Python continues to be one of the fastest-growing programming languages in the market today. Because of its ease of use and numerous supporting frameworks, it's widely used in web development, writing scripts, automating tasks, data science, and even cybersecurity. In this Aspire Journey, you will explore the different stages required to become a Pythonista.  Mentoring Pythonista Journey: Mentors are available to help you along with your Python Novice to Pythonista Journey. You can reach them by entering chats or submitting an email.  Course Fee: R10995.00 (Cash), Terms Costs: R11495.00 with a deposit of R4955.00 and 12x monthly instalments of R545.00.  Course Duration: 53 Hours + 4 Labs Course Link: https://itacademy.co.za/course/pythonista/  Product Link: https://itacademy.co.za/product/pythonista/  Modules: As listed on the Website.",3/10/2022 9:03,3/10/2022 9:03,0,6,6,0,0,0,0,0,6
4,"Optimi College, a member of the Optimi Group, provides accredited qualifications and short courses for adult learners through their College SA and IT Academy offerings. Optimi Group has offerings in four categories: home, workplace, classroom and college – which together support more than 200 000 learners every year. Through its acquisition of IT Academy, Optimi College has been able to offer an additional 1 000 IT and business courses. Covering everything from basic office skills to full IT career development and certification programmes. Many of these courses and programs are locally and internationally accredited.  College SA provides over 200 distance learning courses, focused on a range of topics such as bookkeeping and accounting, tourism, engineering, marketing, and beauty therapy. College SA’s courses are accredited or endorsed by bodies such as Umalusi, CIMA, Microsoft, QCTO and ICB, CompTIA and SABPP.",3/9/2022 8:48,3/11/2022 15:56,2,11,10,1,0,0,0,0,10
5,"Become a Network Engineer Pro, with our IT Academy Classes in Cape Town!👩‍💻  Are you interested? Join Now! Registration Page: https://itacademy.co.za/registration/ To find out more: 0861 663 663 | info@college.optimi.co.za",3/7/2022 8:19,3/16/2022 12:45,8,61,55,6,0,0,0,0,55
6,Join our Software Developer - Full Stack (NQF5) course and begin your coding career today! 💻  Are you interested? Join our classes in Cape Town!  Registration Page: https://itacademy.co.za/registration/ To find out more: 0861 663 663 | info@college.optimi.co.za  Registration ends 31st March 2022,3/2/2022 13:01,3/14/2022 8:06,5,86,84,1,1,0,0,0,84
7,"Data Analyst to Data Scientist🤓 Course Overview: The Aspire journey first provides a foundation of data architecture, statistics, and data analysis programming skills using Python and R. This is the first step in acquiring the knowledge to transition away from using disparate and legacy data sources. You will then learn to wrangle the data using Python and R and then integrate that data with Spark and Hadoop. Next, you will learn how to operationalize and scale data, while considering compliance and governance. To complete the journey, you will learn how take that data and visualize it, to inform smart business decisions. Mentoring Data Science Journey: Mentors are available to help you along your Data Science Journey. You can reach them by entering chats or submitting an email. Course Link: https://bit.ly/3JLGhOT Product Link: https://bit.ly/3sWtBxQ  Course Duration: 87 Hours + 4 Labs | 32 Hours Modules: As listed on the Website",3/1/2022 14:40,3/1/2022 14:40,0,13,9,4,0,0,0,0,9
8,"What is a Network Engineer?  They design, build, and analyze computer network models. They run programs and tests and solve complex technical system issues.  Network Engineers are focused on ensuring that networks are optimized and functioning efficiently. Are you interested? Join our classes in Cape Town! Registration Page: https://itacademy.co.za/registration/ To find out more: 0861 663 663 | info@college.optimi.co.za",2/18/2022 17:35,2/23/2022 9:08,1,36,31,5,0,0,0,0,31
9,,2/14/2022 9:38,2/14/2022 9:38,0,8,6,2,0,0,0,0,6
10,Time to code your own future career by registering for our Software Developer - Full Stack (NQF5) course!🤓  To find out more: 0861 663 663 | info@college.optimi.co.za | https://optimi.co.za/offerings/optimi-college/college-sa/,2/10/2022 14:10,3/7/2022 8:29,3,6,5,1,0,0,0,0,5
11,Become an IT Engineer with our IT Academy Classes at Optimi College! Visit our website and let our team of advisors assist you in launching your new career! To find out more: 0861 663 663 | info@college.optimi.co.za | Registration Page: https://itacademy.co.za/registration/ #click.learn.earn  Limited seats are available.,2/8/2022 11:21,2/28/2022 10:28,4,15,12,3,0,0,0,0,12
12,"Are you thinking of studying something, but don’t know where to start? 🙆 Let our experienced educational planners help you plan your future! It’s never too late or too early to start: #click.learn.earn. 0861 663 663 | info@college.optimi.co.za | https://optimi.co.za/offerings/optimi-college/college-sa/",2/4/2022 10:32,2/4/2022 10:32,0,5,5,0,0,0,0,0,5
13,"Are you interested in a career as an IT engineer? We have the right classroom course for you. 🤓😁  Our college in Cape Town is hosting an open day on Saturday, 5th February 2022, from 9 am to 13 pm. Consult with our advisors and figure out what's next in your career!   We are only able to see 12 students per session due to COVID- 19 restrictions. To reserve your spot, click here: https://booking.appointy.com/OptimiCollege?st=549333  Register for the course here: https://itacademy.co.za/registration  1st Floor, Tygervalley Office Park, 1 Corner of Old Oak and Durban Road, Tygervalley Cape Town, 7538 #Click.Learn.Earn #ITAcademy #OptimiCollege #openday #education #openday2022",2/3/2022 9:41,3/4/2022 10:57,7,40,31,9,0,0,0,0,31
14,"We are just days away from our Open Day in Cape Town! 😁  Come see us this Saturday between 9 am and 1 pm at our college in Cape Town.  Due to COVID- 19 regulations, we are only able to see 12 students per session. To book a slot, please go to https://booking.appointy.com/OptimiCollege?st=549333  Location: 1st Floor, Tygervalley Office Park 1 Corner of Old Oak and Durban Road, Tygervalley Cape Town, 7538  #OptimiCollege #learning #ITAcademy #education #openday #openday2022",2/2/2022 10:50,2/7/2022 9:32,2,11,10,1,0,0,0,0,10
