id,parent_id,message,created_time,updated_time,Total_Summary,Total _reactions_summary,Total_like_summary,Total_love_summary,Total_haha_summary,Total_wow_summary,Total_sad_summary,Total_angry_summary,Total_likes_summary,likes.summary.total_count_1
2,1,Register now for our cutting edge Data Science Programme. Online. Starting 18 Jan 2021.  https://www.youtube.com/watch?v=tCkwnPur7jA&feature=emb_imp_woyt,12/25/2020 21:57,1/15/2021 19:08,1,4,3,1,0,0,0,0,3,3
3,1,Watch our Introduction to Data Science Course built for Executives and Managers.  https://youtu.be/afH3puS7OYQ,12/10/2020 8:25,12/20/2020 7:56,3,10,7,3,0,0,0,0,7,7
4,1,Register now for our online Data Science Course and change the course of your career.  https://www.youtube.com/watch?v=tCkwnPur7jA,12/6/2020 8:26,12/8/2020 0:20,1,7,6,1,0,0,0,0,6,6
5,1,Register now for our SQL for Data Science course to turbo-charge your career.  https://www.youtube.com/watch?v=W-6qKteINlQ&feature=emb_logo,12/2/2020 17:30,1/6/2021 11:15,1,8,7,1,0,0,0,0,7,7
6,1,Register now for one of our cutting-edge DIGITAL SKILL Courses and change the trajectory of your career.  https://explore-datascience.net/about-us/our-courses,11/30/2020 8:03,11/30/2020 8:03,0,5,4,1,0,0,0,0,4,4
7,1,Register now for our accredited Data Science on-line course. Change the trajectory of your career and join EXPLORE.  https://www.youtube.com/watch?v=aeCGUxAcIWQ&list=PLXzqtyJRzR_Sx7uc1xtViCTFd_b88xrNV&index=11,11/15/2020 15:26,11/15/2020 15:26,0,9,8,1,0,0,0,0,8,8
8,1,Take a tour of our Data Science Programme and see the Scientists who design and teach at EXPLORE.  https://youtu.be/kiTcVtZ5NCY,11/13/2020 8:58,11/13/2020 8:58,0,7,6,1,0,0,0,0,6,6
9,1,AI. Machine Learning. Data Science. What do they all mean?   Read the article below to EXPLORE AI!   https://www.vogue.co.uk/arts-and-lifestyle/article/how-to-talk-to-robots-tabitha-goldstaub,11/6/2020 20:00,11/6/2020 20:01,0,12,11,1,0,0,0,0,11,11
10,1,"A recommender system is an AI technique which finds relationships between features. Our data scientists learnt how to build this recommender system, which works similarly to Netflix's!   https://www.wsj.com/articles/retailers-use-ai-to-improve-online-recommendations-for-shoppers-11604330308",11/5/2020 20:00,11/5/2020 20:00,0,7,7,0,0,0,0,0,7,7
11,1,How can AI help the fight against Covid-19?   https://www.washingtonpost.com/health/covid-19-artificial-intelligence/2020/10/30/7486db84-1485-11eb-bc10-40b25382f1be_story.html,11/4/2020 20:00,11/4/2020 20:00,0,8,7,1,0,0,0,0,7,7
12,1,Remember to apply for the ONE YEAR FULL DATA SCIENCE course!   The most in demand and future proof careers require DATA.   Head over to --> https://explore-digital.net/long-courses/data-analytics  https://www.cajnewsafrica.com/2020/10/22/pandemic-makes-data-science-skills-vital-for-sa/,11/3/2020 20:00,11/3/2020 20:00,0,7,7,0,0,0,0,0,7,7
13,1,Great read on the trends for Data Science!  https://aerospace-journal.com/uncategorized/473555/data-science-and-machine-learning-service-market-2020-research-strategies-swot-analysis-future-development-trends-till-2027-international-business-machine-fico-att-hewlett-packard-enterpri/,11/2/2020 20:05,11/2/2020 20:05,0,4,4,0,0,0,0,0,4,4
14,1,Apply now for one of our of DIGITAL SKILL Courses and take your career to the next level.  http://brainstormmag.co.za/features/15078-taking-sexy-skills-to-the-world,10/26/2020 19:32,10/29/2020 12:21,1,15,14,1,0,0,0,0,14,14
15,1,Register now for one of our accredited DIGITAL SKILL Courses.  https://www.htxt.co.za/2020/10/21/explore-data-science-academy-confirms-2021-courses-along-with-new-additions/,10/22/2020 16:15,12/6/2020 0:12,1,6,6,0,0,0,0,0,6,6
16,1,Sign up now for our expanded range of accredited DIGITAL Qualifications and Short Courses.  https://explore-datascience.net,10/20/2020 12:57,10/27/2020 10:26,1,9,9,0,0,0,0,0,9,9
