id,message,Total_comments,Total_reactions,Total_like,Total_love,Total_haha,Total_wow,Total_sad,Total_angry,Total_likes
2,"UmojaHack Africa hackathon takes place this weekend 19-20 March! We're in collab with Zindi.  Prizes to be won, connections to be made. It's not too late to sign up: http://bit.ly/uha22-signup  #UHA22 #UmojaHackAfrica2022 #ZindiHack",0,0,0,0,0,0,0,0,0
3,"How would you use logic trees, flowcharts and pseudocode to solve a problem? Follow our example to see how easy it is.   Next, take a minute to write the Python algorithm for programmatic implementation.   #pythonprogramming #datascience #problemsolving #elearning #coding",0,8,8,0,0,0,0,0,8
4,"Comparison operators form an integral part of programming languages and are used in conditional statements.  With comparison operators, two values are compared, and either a true or false statement is returned, determining the program flow.  Keep an eye out for tomorrow's post - we will be sharing how to use a logic tree, flowchart and pseudocode to solve a programming problem.  #programming #python #problemsolving #datascience #programmaticthinking",0,8,6,2,0,0,0,0,6
5,"We are proud to be a Platinum sponsor of UmojaHack Africa 2022! Sign up here: http://bit.ly/uha22-signup  This competition is the biggest inter-university ML hackathon in Africa, inspiring the next generation of tech and AI leaders. ML and AI are key for the rejuvenation of Africa’s economies, and we are proud to play a pivotal role in supporting future talent.  #BuildingAITogether #UmojaHackAfrica2022 #KeepLearning",0,2,2,0,0,0,0,0,2
6,"When creating flowcharts, each symbol used has a specific meaning. Use this chart as a reference guide when designing flowcharts.   #flowcharts #datascience #programming",0,8,8,0,0,0,0,0,8
7,"🚀 Our sister business, EXPLORE-AI, is on a drive to recruit talented data specialists of all shapes and sizes, to be placed in project-style employment within their growing network of global partners.  Freelance or permanent, if you know someone with suitable skills, send them this video 👩🏽‍🚀👨🏽‍🚀",0,4,4,0,0,0,0,0,4
8,"Pseudocode and flowcharts are excellent aids in developing programming logic.  If you are new to coding, use these techniques before using computer code to solve the problem.   #pseudocode #computerprogramming #flowcharts #datascience #solvingproblems",0,1,1,0,0,0,0,0,1
9,"Notebooks are one of the most popular tools data scientists use to perform exploratory data analysis (EDA) and machine learning model development.   At EXPLORE, our students use Jupyter Notebooks to gather and share insights on projects.   #jupyternotebook #anaconda #datascience #dataengineering #jupyter #machinelearning #dataanalysis",0,5,5,0,0,0,0,0,5
10,Our students are setting up Anaconda and starting to work with Jupyter Notebook. These tools simplify data science and machine learning projects.   Want to set it up yourself? - https://docs.anaconda.com/anaconda/user-guide/getting-started/  #anaconda #jupyternotebook #python #datascience,1,11,9,2,0,0,0,0,9
11,"The data from 2021 shows that Python is the most popular programming language.  At EXPLORE, our students learn to solve problems using this programming language.   To have a look at the data yourself, download it here - https://www.kaggle.com/muhammadkhalid/most-popular-programming-languages-since-2004  #python #programminglanguage #problemsolving #datascience #data #dataanalytics",0,11,8,3,0,0,0,0,8
12,"Our students have moved on to learning the next problem-solving tool, a programming language.   Over the next six weeks, our posts will focus on our programming language of choice.   https://explore-datascience.net/course/info/1/3/oncampus  #programminglanguages #datascience #problemsolving #problemsolvingskills",0,3,2,1,0,0,0,0,2
13,"Now that you know how to use data in Power BI, where can you access open data?  GitHub - https://github.com/awesomedata/awesome-public-datasets The World Bank - https://data.worldbank.org/ data.world - https://data.world/ Kaggle - https://www.kaggle.com/datasets?fileType=csv  #opendata #powerbi #github #kaggle #dataanalysis #datasources #datascience",0,7,7,0,0,0,0,0,7
14,You can create visuals from basic cards to complete maps in Power BI.   Our data science students are taking the time to create visuals in Power BI this week.   https://explore-datascience.net/  #powerbidesktop #visualisations #datascience #dataanalysis  #elearning,0,2,2,0,0,0,0,0,2
15,"In Power BI Desktop, you have the functionality to create new features by using DAX. What is the difference between creating a feature as a column vs a measure?  Also, check out this comprehensive DAX guide we shared last year: https://www.linkedin.com/feed/update/urn:li:activity:6818129422445494272.  #DAX #dataanalysis #datascience #elearning #powerbi #powerbidesktop",0,7,6,1,0,0,0,0,6
16,DAX is what makes Power BI so powerful! It is not only used in Power BI but also other Microsoft platforms.    Our students are currently investing some time in becoming proficient with DAX.   https://explore-datascience.net/course/info/1/3  #DAX #powerbi #powerbidesktop #visualisation #datascience #dataanalysis #elearning,0,12,11,1,0,0,0,0,11
17,Our students are learning how to use Power BI to create data visualisations. There are numerous reasons why we have selected Power BI as our dashboard tool of choice.   Keep following our posts this week to learn more about Power BI.  https://explore-datascience.net/  #powerbi #datavisualisation #graphs #dataanalysis #dashboarding #elearning #datascience,1,13,13,0,0,0,0,0,13
18,How do you know if the data plot should be a bar graph or a histogram?   The answer depends on the type of data you are working with. Paying attention to categorical or numerical data will guide you in choosing the correct visuals.  https://explore-datascience.net/  #visualisation #datascience #datatypes #graphs #elearning,0,5,5,0,0,0,0,0,5
19,This week our students are focusing on data visualisation.  The insights gathered from data can be used to tell a story. An important aspect of a data scientist's role is communicating these insights.   https://explore-datascience.net/  #elearning #datascience #dataengineering #data #visualisation #communication #visualstorytelling #datastorytelling,0,16,11,5,0,0,0,0,11
20,"The best way to solve a problem, big or small, is to look at it in a structured way.  This week, our students were introduced to problem-solving. They will continuously hone this new skill as they learn how to apply frameworks such as MECE, Agile and Scientific Method.  https://explore-datascience.net/  #problemsolving #MECE #scientificmethod #agile #datascience #dataengineering #elearning",0,3,3,0,0,0,0,0,3
21,"Our courses are designed to make our students job-ready!    Within a period of 6 - 12 months, our full-time and part-time students will learn some of the most valuable and up-to-date tech skills.   https://explore-datascience.net/  #datascience #dataengineering  #cloudcomputing #sql #machinelearning #problemsolving #visualisation #python",2,7,7,0,0,0,0,0,7
22,"Welcome to all the students who enrolled for our January 2022 intake. Enjoy the journey with us!  Over the next few months, we will be posting weekly sneak peeks of what our students are learning. Don't forget to check in on these.   https://explore-datascience.net/course/info/3/3/online  #datascience #dataengineering #elearning #newskills",1,12,10,2,0,0,0,0,10
23,"Select the course that fits your interest, schedule and pocket. 4 days remaining to enrol.  https://explore-datascience.net/  #datascience #dataengineering #elearning #newcareer",1,6,6,0,0,0,0,0,6
24,"Cloud computing is one of the most in-demand tech skills.   Explore Data Science Academy, in partnership with AWS, ensures that our students gain the must-have knowledge and practical experience in this skill.  Listen to this podcast to hear more from Clive Charlton (Head of Solution Architecture at AWS) and Shaun Dippnall (CEO & Co-founder of EDSA). - https://open.spotify.com/episode/0j9LgFJmWRY5ytROMGbMQp?si=JSHddgaZS3O579t_HZa4uA&utm_source=native-share-menu&nd=1  Join one of our courses before Monday, the 17th of January, to learn this valuable skill.   Data Science - https://explore-datascience.net/course/info/1/3/online  Data Engineering - https://explore-datascience.net/course/info/3/3/online  #cloudcomputing #aws #elearning #techskills #datascience #dataengineering",3,18,15,3,0,0,0,0,15
25,Still on the fence if you should enrol in our data science course?  This article discusses five indisputable reasons why you should.  https://www.careerlauncher.com/data-school-pgpdsbda/data-science-course.html  Enrol now! - https://explore-datascience.net/course/info/1/3/online  #machinelearning #datasience #elearning #careerdevelopment,1,4,4,0,0,0,0,0,4
26,One week to go until our part-time 2022 courses start!   Data Science: https://explore-datascience.net/course/info/1/3/online  Data Engineering: https://explore-datascience.net/course/info/3/3/online  #datascience #dataengineering #elearning #bigdata #machinelearning,0,11,8,3,0,0,0,0,8
