id,message,created_time,updated_time,Total_comments,Total_reactions,Total_like,Total_love,Total_haha,Total_wow,Total_sad,Total_angry,Total_likes
2,"We are excited to announce Bayo (Olubayo) Adekanmbi, Founder & Lead Consultant for DSN - Data Scientists Network /Data Science Nigeria/  will be speaking this week at UmojaHack Africa! Don’t miss out, sign up👉http://bit.ly/uha22-signup #UHA22 #ZindiHack #KeepLearning #KeepWinning",3/15/2022 20:00,3/15/2022 20:00,0,3,3,0,0,0,0,0,3
3,"We are excited to announce Ciira Maina, Organising Committee Member from Data Science Africa, will be speaking this week at UmojaHack Africa! Don’t miss out, sign up👉http://bit.ly/uha22-signup #UHA22 #ZindiHack #KeepLearning #KeepWinning",3/15/2022 16:00,3/15/2022 16:00,0,5,5,0,0,0,0,0,5
4,"We are excited to announce Maciej Kaliszka, Head of Analytics (Corporate and Investment Banking, Pan-Africa) for Absa South Africa, will be speaking this week at UmojaHack Africa! Don’t miss out, sign up👉http://bit.ly/uha22-signup #UHA22 #ZindiHack #KeepLearning #KeepWinning",3/14/2022 20:00,3/14/2022 20:00,0,4,4,0,0,0,0,0,4
5,"We are delighted to announce Moustapha Cisse, Research Scientist & Head of Google AI Center Accra, will be speaking at UmojaHack Africa! Don’t miss out, sign up👉http://bit.ly/uha22-signup  #UHA22 #ZindiHack #KeepLearning #KeepWinning",3/14/2022 16:00,3/14/2022 16:00,0,18,18,0,0,0,0,0,18
6,There are only six days left until UmojaHack Africa kicks off and we’re so excited! 🎉  Make sure you’ve signed up to the competition and accessed the practice challenges!  👉 http://bit.ly/uha22-signup  👉 https://bit.ly/uha22-comps #UmojaHackAfrica2022 #BuildingAITogether #KeepLearning,3/14/2022 10:00,3/14/2022 10:00,0,6,6,0,0,0,0,0,6
7,"We are delighted to announce Kate Kallott, Director, Head of Global Developer Relations & Emerging Areas at NVIDIA AI, will be speaking at UmojaHack Africa! Don’t miss out, sign up👉http://bit.ly/uha22-signup  #UHA22 #ZindiHack #KeepLearning #KeepWinning",3/11/2022 20:00,3/11/2022 20:00,0,8,7,1,0,0,0,0,7
8,"We are delighted to announce Gavin Cope, Chief Data Officer at Absa South Africa, will be speaking at UmojaHack Africa! Don’t miss out, sign up👉http://bit.ly/uha22-signup   #UHA22 #ZindiHack #KeepLearning #KeepWinning",3/11/2022 16:00,3/11/2022 16:08,1,7,7,0,0,0,0,0,7
9,"Our Advanced level UmojaHack Africa challenge has been released! 🎉✨ In this challenge, you’ll build a machine learning model to help InstaDeep predict what other snake venom toxins a given antivenom could be effective against!  Click here to find out more 👉https://bit.ly/uha22-comps Sign up👉http://bit.ly/uha22-signup   #UHA22 #ZindiHack #KeepLearning #KeepWinning",3/11/2022 10:00,3/11/2022 10:00,0,6,6,0,0,0,0,0,6
10,"We are delighted to announce Karim Beguir, Co-Founder and CEO of InstaDeep, will be speaking at UmojaHack Africa! Don’t miss out, sign up👉http://bit.ly/uha22-signup   #UHA22 #ZindiHack #KeepLearning #BuildingAITogether",3/10/2022 20:25,3/10/2022 20:25,0,12,12,0,0,0,0,0,12
11,🎉We are excited to announce that NVIDIA AI is our Gold sponsor for UmojaHack Africa!🎉Let’s support the next generation of Tech and AI leaders together. #ZindiHack #BuildingAITogether #KeepLearning,3/10/2022 16:00,3/10/2022 16:00,0,7,7,0,0,0,0,0,7
